seed,history_length,representation,split,horizon,signal,status,n_origins,n_forecast_samples,trajectory_rmse,endpoint_mae,mean_predicted_events,preprojection_invalid_state_rate,duration_clip_rate,zero_duration_displacement_projection_rate,postprojection_valid_rate,rollout_completion_rate,mean_input_steps,mean_input_scalar_elements,mean_input_bytes,mean_input_raw_span,n_predictive_parameters,rollout_runtime_median_s,candidate_rmse_ratio_vs_control
228973438714350052,4,vectorchain_cartesian,test,16,regime_change,ok,14,224,0.1164914075146943,0.18228129602493573,19.0,0.0,0.0,0.0,1.0,1.0,4.0,12.0,96.0,45.142857142857146,39,0.002726,0.9555093765106369
228973438714350052,4,vectorchain_relational,test,16,regime_change,ok,14,224,0.11130863216321209,0.1753249962344333,18.785714285714285,0.0,0.0,0.0,1.0,1.0,4.0,28.0,224.0,45.142857142857146,87,0.0027143000000000002,1.0
228973438714350052,4,fixed_relational,test,16,second_order_response,ok,17,272,0.032574713951852206,0.044663267758228035,14.294117647058824,0.0,0.11764705882352941,0.0,1.0,1.0,4.0,28.0,224.0,37.0,87,0.0021892,0.7927629311047977
228973438714350052,4,persistence,test,16,second_order_response,ok,17,272,0.020279063844545142,0.017388054522864613,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0,5.1e-06,1.273432832517912
228973438714350052,4,raw_ar,test,16,second_order_response,ok,17,272,0.016294516630666923,0.0155530777839833,0.0,0.0,0.0,0.0,1.0,1.0,28.0,28.0,224.0,28.0,29,0.0093656,1.5848291973122335
228973438714350052,4,raw_matched,test,16,second_order_response,ok,17,272,0.03861652225080471,0.043126694741382816,23.529411764705884,0.4117647058823529,0.4117647058823529,0.4117647058823529,1.0,1.0,28.0,28.0,224.0,28.0,87,0.0022482,0.6687299686038549
228973438714350052,4,vectorchain_absolute,test,16,second_order_response,ok,17,272,0.02582265637136142,0.03023604007666807,19.0,0.0,0.0,0.0,1.0,1.0,4.0,20.0,160.0,36.294117647058826,63,0.0026924,1.0000530286655869
228973438714350052,4,vectorchain_cartesian,test,16,second_order_response,ok,17,272,0.023784324834885462,0.02655235902140543,19.0,0.0,0.0,0.0,1.0,1.0,4.0,12.0,96.0,36.294117647058826,39,0.0027216,1.0857581996396857
228973438714350052,4,vectorchain_relational,test,16,second_order_response,ok,17,272,0.0258240257123707,0.030243785034841455,19.0,0.0,0.0,0.0,1.0,1.0,4.0,28.0,224.0,36.294117647058826,87,0.0026852,1.0
228973438714350052,4,fixed_relational,test,16,sine,ok,14,224,0.05689340347812009,0.07993040109717879,12.785714285714286,0.0,0.0,0.0,1.0,1.0,4.0,28.0,224.0,37.0,87,0.0019018,0.8300520827793804
