history_length,representation,split,horizon,n_seeds,trajectory_rmse_geomean,candidate_rmse_ratio_vs_control_geomean,postprojection_valid_rate_mean,rollout_completion_rate_mean,mean_input_steps,mean_input_scalar_elements,n_predictive_parameters
16,raw_matched,test,16,5,0.2869006288258542,0.37812268229991663,1.0,1.0,112.0,112.0,339
16,vectorchain_absolute,test,16,5,0.10847145110613153,1.0001123265053526,1.0,1.0,16.0,80.0,243
16,vectorchain_cartesian,test,16,5,0.11349390536206806,0.9558542811535163,1.0,1.0,16.0,48.0,147
16,vectorchain_relational,test,16,5,0.10848363532516475,1.0,1.0,1.0,16.0,112.0,339
16,fixed_relational,test,64,5,166876666703.7681,2.0403344814826292e-12,1.0,1.0,16.0,112.0,339
16,persistence,test,64,5,0.34686148230427843,0.9816143751928533,1.0,1.0,1.0,1.0,0
16,raw_ar,test,64,5,0.13608565837383338,2.5019845683904176,1.0,1.0,112.0,112.0,113
16,raw_matched,test,64,5,15.268036679622845,0.022300458426655557,1.0,1.0,112.0,112.0,339
16,vectorchain_absolute,test,64,5,0.34039768213739735,1.0002542176334475,1.0,1.0,16.0,80.0,243
16,vectorchain_cartesian,test,64,5,0.35014499864075105,0.9724091977675748,1.0,1.0,16.0,48.0,147
16,vectorchain_relational,test,64,5,0.34048421723058137,1.0,1.0,1.0,16.0,112.0,339
16,fixed_relational,test,128,5,1.17554590126807e+25,5.281849695907017e-26,1.0,1.0,16.0,112.0,339
16,persistence,test,128,5,0.5767048400349337,1.0766437751348579,1.0,1.0,1.0,1.0,0
16,raw_ar,test,128,5,0.3880449153914662,1.6000871329221653,1.0,1.0,112.0,112.0,113
16,raw_matched,test,128,5,2124.1552425947125,0.00029230710809785386,1.0,1.0,112.0,112.0,339
16,vectorchain_absolute,test,128,5,0.6208876322747665,1.0000290613599803,1.0,1.0,16.0,80.0,243
16,vectorchain_cartesian,test,128,5,0.6257718427874358,0.9922237366066126,1.0,1.0,16.0,48.0,147
16,vectorchain_relational,test,128,5,0.6209056761137552,1.0,1.0,1.0,16.0,112.0,339
16,fixed_relational,validation,16,5,2.9315364836974713,0.034586574172556325,1.0,1.0,16.0,112.0,339
16,persistence,validation,16,5,0.08443743038513073,1.2007921554516228,1.0,1.0,1.0,1.0,0
16,raw_ar,validation,16,5,0.02384369489189962,4.252352854397714,1.0,1.0,112.0,112.0,113
16,raw_matched,validation,16,5,0.23461664359897022,0.43215946864480065,1.0,1.0,112.0,112.0,339
16,vectorchain_absolute,validation,16,5,0.101459044905851,0.9993372609316804,1.0,1.0,16.0,80.0,243
16,vectorchain_cartesian,validation,16,5,0.11189800392561179,0.9061091393583873,1.0,1.0,16.0,48.0,147
