seed,history_length,representation,split,horizon,status,n_origins,n_forecast_samples,trajectory_rmse,endpoint_mae,mean_predicted_events,preprojection_invalid_state_rate,duration_clip_rate,zero_duration_displacement_projection_rate,postprojection_valid_rate,rollout_completion_rate,mean_input_steps,mean_input_scalar_elements,mean_input_bytes,mean_input_raw_span,n_predictive_parameters,rollout_runtime_median_s,candidate_rmse_ratio_vs_control
228973438714350052,8,vectorchain_absolute,test,16,ok,91,1456,0.07176268543791536,0.07305308730431052,18.835164835164836,0.0,0.0,0.0,1.0,1.0,8.0,40.0,320.0,94.03296703296704,123,0.0027305,0.9998905978695501
228973438714350052,8,vectorchain_cartesian,test,16,ok,91,1456,0.07271581014674164,0.07464203708700878,18.78021978021978,0.0,0.0,0.0,1.0,1.0,8.0,24.0,192.0,94.03296703296704,75,0.0027471,0.9867845012307402
228973438714350052,8,vectorchain_relational,test,16,ok,91,1456,0.07175483444724165,0.07304207400194995,18.835164835164836,0.0,0.0,0.0,1.0,1.0,8.0,56.0,448.0,94.03296703296704,171,0.0027801,1.0
228973438714350052,8,fixed_relational,test,64,ok,91,5824,0.3734214229982147,0.5050676481121337,13.637362637362637,0.02197802197802198,0.18681318681318682,0.03296703296703297,1.0,1.0,8.0,56.0,448.0,73.0,171,0.0022475,0.7071769629132939
228973438714350052,8,persistence,test,64,ok,91,5824,0.36244302572323134,0.3763273931234072,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0,8.5e-06,0.7285973492680498
228973438714350052,8,raw_ar,test,64,ok,91,5824,0.18682970344564415,0.2200041204654832,0.0,0.0,0.0,0.0,1.0,1.0,56.0,56.0,448.0,56.0,57,0.0096259,1.4134531229905172
228973438714350052,8,raw_matched,test,64,ok,91,5824,3.4061476559179007,3.8763070467237006,41.417582417582416,0.5164835164835165,0.5054945054945055,0.5274725274725275,1.0,1.0,56.0,56.0,448.0,56.0,171,0.0023835,0.07752894309905484
228973438714350052,8,vectorchain_absolute,test,64,ok,91,5824,0.26408063581464614,0.2983279726229403,18.835164835164836,0.0,0.0,0.0,1.0,1.0,8.0,40.0,320.0,94.03296703296704,123,0.0027305,0.9999787640165629
228973438714350052,8,vectorchain_cartesian,test,64,ok,91,5824,0.26146701711309983,0.2952055690736496,18.78021978021978,0.0,0.0,0.0,1.0,1.0,8.0,24.0,192.0,94.03296703296704,75,0.0027471,1.009974530318713
228973438714350052,8,vectorchain_relational,test,64,ok,91,5824,0.2640750278026379,0.29833087684806886,18.835164835164836,0.0,0.0,0.0,1.0,1.0,8.0,56.0,448.0,94.03296703296704,171,0.0027801,1.0
228973438714350052,8,fixed_relational,test,128,ok,91,11648,0.8913896051209266,1.3187606391714275,13.637362637362637,0.02197802197802198,0.18681318681318682,0.03296703296703297,1.0,1.0,8.0,56.0,448.0,73.0,171,0.0022475,0.5967295961824898
228973438714350052,8,persistence,test,128,ok,91,11648,0.6094080405676116,0.53844990642343,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0,8.5e-06,0.8728446684255148
228973438714350052,8,raw_ar,test,128,ok,91,11648,0.47342720974459923,0.4914760156990341,0.0,0.0,0.0,0.0,1.0,1.0,56.0,56.0,448.0,56.0,57,0.0096259,1.123548769814128
228973438714350052,8,raw_matched,test,128,ok,91,11648,37.51580037431972,53.189785033367436,41.417582417582416,0.5164835164835165,0.5054945054945055,0.5274725274725275,1.0,1.0,56.0,56.0,448.0,56.0,171,0.0023835,0.014178520884474799
228973438714350052,8,vectorchain_absolute,test,128,ok,91,11648,0.5319248871383803,0.5236036273519155,18.835164835164836,0.0,0.0,0.0,1.0,1.0,8.0,40.0,320.0,94.03296703296704,123,0.0027305,0.9999881035209036
228973438714350052,8,vectorchain_cartesian,test,128,ok,91,11648,0.5255350783064294,0.5177575088053741,18.78021978021978,0.0,0.0,0.0,1.0,1.0,8.0,24.0,192.0,94.03296703296704,75,0.0027471,1.0121466312376737
228973438714350052,8,vectorchain_relational,test,128,ok,91,11648,0.5319185591050796,0.5235910617755367,18.835164835164836,0.0,0.0,0.0,1.0,1.0,8.0,56.0,448.0,94.03296703296704,171,0.0027801,1.0
228973438714350052,8,fixed_relational,validation,16,ok,120,1920,0.09816164828549137,0.09371383782357734,13.825,0.0,0.21666666666666667,0.008333333333333333,1.0,1.0,8.0,56.0,448.0,73.0,171,0.0020239,0.6728465277366033
228973438714350052,8,persistence,validation,16,ok,120,1920,0.07824340318574524,0.0826466733374197,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0,7.05e-06,0.8441315371853285
228973438714350052,8,raw_ar,validation,16,ok,120,1920,0.027093023953514535,0.029808113538006942,0.0,0.0,0.0,0.0,1.0,1.0,56.0,56.0,448.0,56.0,57,0.008041900000000001,2.4378129336583996
228973438714350052,8,raw_matched,validation,16,ok,120,1920,0.2646504257667323,0.20721645643367245,46.84166666666667,0.575,0.5833333333333334,0.5916666666666667,1.0,1.0,56.0,56.0,448.0,56.0,171,0.00262785,0.24956590949908475
228973438714350052,8,vectorchain_absolute,validation,16,ok,120,1920,0.06606636690704858,0.06690582408533231,18.641666666666666,0.0,0.0,0.0,1.0,1.0,8.0,40.0,320.0,97.625,123,0.00247245,0.9997178185796074
228973438714350052,8,vectorchain_cartesian,validation,16,ok,120,1920,0.06376996589061182,0.06452332827891921,18.708333333333332,0.0,0.0,0.0,1.0,1.0,8.0,24.0,192.0,97.625,75,0.0024885999999999997,1.0357183555514191
228973438714350052,8,vectorchain_relational,validation,16,ok,120,1920,0.06604772420579456,0.0668492841927341,18.633333333333333,0.0,0.0,0.0,1.0,1.0,8.0,56.0,448.0,97.625,171,0.0024855,1.0
228973438714350052,8,fixed_relational,validation,64,ok,120,7680,0.4969090407653857,0.7072213822120184,13.825,0.0,0.21666666666666667,0.008333333333333333,1.0,1.0,8.0,56.0,448.0,73.0,171,0.0020239,0.5136661123594843
228973438714350052,8,persistence,validation,64,ok,120,7680,0.3090780455457697,0.32726628685785725,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0,7.05e-06,0.8258281001988488
228973438714350052,8,raw_ar,validation,64,ok,120,7680,0.1743892931170749,0.20542017449690622,0.0,0.0,0.0,0.0,1.0,1.0,56.0,56.0,448.0,56.0,57,0.008041900000000001,1.4636525591905418
228973438714350052,8,raw_matched,validation,64,ok,120,7680,4.312842509278812,4.907501123281554,46.84166666666667,0.575,0.5833333333333334,0.5916666666666667,1.0,1.0,56.0,56.0,448.0,56.0,171,0.00262785,0.0591826236680546
228973438714350052,8,vectorchain_absolute,validation,64,ok,120,7680,0.25528984409932415,0.2890097527005713,18.641666666666666,0.0,0.0,0.0,1.0,1.0,8.0,40.0,320.0,97.625,123,0.00247245,0.9998256533343699
