seed,horizon,context_length,tolerance,variant,features,n_examples,step_signature_sha256,matches_reference
2718,1,64,0.1,absolute_geometry,"dt,dy,theta,r",1680,1ecaeb6fe1675b18706be89983317644023831c4f92f0d90aa09c95fea9ed63b,True
2718,1,64,0.1,turning_matched,"dt,dy,theta,delta_theta",1680,1ecaeb6fe1675b18706be89983317644023831c4f92f0d90aa09c95fea9ed63b,True
2718,1,64,0.1,turning,"dt,dy,theta,r,delta_theta",1680,1ecaeb6fe1675b18706be89983317644023831c4f92f0d90aa09c95fea9ed63b,True
2718,1,64,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1680,1ecaeb6fe1675b18706be89983317644023831c4f92f0d90aa09c95fea9ed63b,True
2718,4,64,0.1,segment,"dt,dy",1680,8f3fd93312b8d7287f43329c3cc1430ccce42fc5300f5034c770e358967aa7c7,True
2718,4,64,0.1,absolute_geometry,"dt,dy,theta,r",1680,8f3fd93312b8d7287f43329c3cc1430ccce42fc5300f5034c770e358967aa7c7,True
2718,4,64,0.1,turning_matched,"dt,dy,theta,delta_theta",1680,8f3fd93312b8d7287f43329c3cc1430ccce42fc5300f5034c770e358967aa7c7,True
2718,4,64,0.1,turning,"dt,dy,theta,r,delta_theta",1680,8f3fd93312b8d7287f43329c3cc1430ccce42fc5300f5034c770e358967aa7c7,True
2718,4,64,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1680,8f3fd93312b8d7287f43329c3cc1430ccce42fc5300f5034c770e358967aa7c7,True
2718,16,64,0.1,segment,"dt,dy",1659,3f0994d7e375fab96f6df0dd3ec10c537046d4665459be35f538086c1a50b9c1,True
2718,16,64,0.1,absolute_geometry,"dt,dy,theta,r",1659,3f0994d7e375fab96f6df0dd3ec10c537046d4665459be35f538086c1a50b9c1,True
2718,16,64,0.1,turning_matched,"dt,dy,theta,delta_theta",1659,3f0994d7e375fab96f6df0dd3ec10c537046d4665459be35f538086c1a50b9c1,True
2718,16,64,0.1,turning,"dt,dy,theta,r,delta_theta",1659,3f0994d7e375fab96f6df0dd3ec10c537046d4665459be35f538086c1a50b9c1,True
2718,16,64,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1659,3f0994d7e375fab96f6df0dd3ec10c537046d4665459be35f538086c1a50b9c1,True
2718,1,128,0.1,segment,"dt,dy",1568,9a087933a59d4070473ebe35fb3765476d47e2c4d864484aa8489a95608a39b1,True
2718,1,128,0.1,absolute_geometry,"dt,dy,theta,r",1568,9a087933a59d4070473ebe35fb3765476d47e2c4d864484aa8489a95608a39b1,True
2718,1,128,0.1,turning_matched,"dt,dy,theta,delta_theta",1568,9a087933a59d4070473ebe35fb3765476d47e2c4d864484aa8489a95608a39b1,True
2718,1,128,0.1,turning,"dt,dy,theta,r,delta_theta",1568,9a087933a59d4070473ebe35fb3765476d47e2c4d864484aa8489a95608a39b1,True
2718,1,128,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1568,9a087933a59d4070473ebe35fb3765476d47e2c4d864484aa8489a95608a39b1,True
2718,4,128,0.1,segment,"dt,dy",1568,3f0f875d2d5f1944570d40505ce96270e7e2a399ddca09629b243ed54bd66dc0,True
2718,4,128,0.1,absolute_geometry,"dt,dy,theta,r",1568,3f0f875d2d5f1944570d40505ce96270e7e2a399ddca09629b243ed54bd66dc0,True
2718,4,128,0.1,turning_matched,"dt,dy,theta,delta_theta",1568,3f0f875d2d5f1944570d40505ce96270e7e2a399ddca09629b243ed54bd66dc0,True
2718,4,128,0.1,turning,"dt,dy,theta,r,delta_theta",1568,3f0f875d2d5f1944570d40505ce96270e7e2a399ddca09629b243ed54bd66dc0,True
2718,4,128,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",1568,3f0f875d2d5f1944570d40505ce96270e7e2a399ddca09629b243ed54bd66dc0,True
2718,16,128,0.1,segment,"dt,dy",1547,12de24c55dc2d621a45e087863c87a39c0c7505ed104bb8bcbc1e5732c9ee5f9,True
2718,16,128,0.1,absolute_geometry,"dt,dy,theta,r",1547,12de24c55dc2d621a45e087863c87a39c0c7505ed104bb8bcbc1e5732c9ee5f9,True
2718,16,128,0.1,turning_matched,"dt,dy,theta,delta_theta",1547,12de24c55dc2d621a45e087863c87a39c0c7505ed104bb8bcbc1e5732c9ee5f9,True
