condition_id,seed,horizon,context_length,tolerance,variant,features,role,representation,split,signal,n_examples,mae,rmse,rmse_ratio_vs_reference
seed-1729__h-1__c-32__turning_matched,1729,1,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,test,ramp,51,0.011395721143572629,0.014165653070002641,1.0007496606085624
seed-1729__h-1__c-32__turning_matched,1729,1,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,test,piecewise_linear,51,0.009356369542386793,0.010957104726866469,1.0017509475891584
seed-1729__h-1__c-32__turning_matched,1729,1,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,test,first_order_response,51,0.010470561766259193,0.01251435937050551,1.0015362703618902
seed-1729__h-1__c-32__turning_matched,1729,1,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,test,second_order_response,51,0.01132252728947086,0.014229625465676137,1.0005325782109906
seed-1729__h-1__c-32__turning_matched,1729,1,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,test,regime_change,51,0.01849061054871043,0.02304385908895545,0.8878708936875358
seed-1729__h-1__c-32__turning,1729,1,32,0.1,turning,"dt,dy,theta,r,delta_theta",primary,vectorchain,validation,sine,51,0.011716319082517588,0.01490967850395208,1.000044773240214
seed-1729__h-1__c-32__turning,1729,1,32,0.1,turning,"dt,dy,theta,r,delta_theta",primary,vectorchain,validation,chirp,51,0.013131228164933595,0.016422869749435055,0.9288385288086759
seed-1729__h-1__c-32__turning,1729,1,32,0.1,turning,"dt,dy,theta,r,delta_theta",primary,vectorchain,validation,ramp,51,0.011464303257017075,0.01393026379471283,0.9999363397030596
seed-1729__h-1__c-32__turning,1729,1,32,0.1,turning,"dt,dy,theta,r,delta_theta",primary,vectorchain,validation,piecewise_linear,51,0.014190971739840595,0.017315659756610913,1.0000590023584741
seed-1729__h-1__c-32__turning,1729,1,32,0.1,turning,"dt,dy,theta,r,delta_theta",primary,vectorchain,validation,first_order_response,51,0.010609118710434283,0.014047507432106096,0.9999676908049681
seed-1729__h-1__c-32__turning,1729,1,32,0.1,turning,"dt,dy,theta,r,delta_theta",primary,vectorchain,validation,second_order_response,51,0.010937493959611301,0.013812654955999027,1.0000676270246789
seed-1729__h-1__c-32__turning,1729,1,32,0.1,turning,"dt,dy,theta,r,delta_theta",primary,vectorchain,validation,regime_change,51,0.016281270537978152,0.020937075173053796,1.0131068912447203
seed-1729__h-1__c-32__turning,1729,1,32,0.1,turning,"dt,dy,theta,r,delta_theta",primary,vectorchain,test,sine,51,0.011340589683808138,0.01478351714406017,1.0002046757482128
seed-1729__h-1__c-32__turning,1729,1,32,0.1,turning,"dt,dy,theta,r,delta_theta",primary,vectorchain,test,chirp,51,0.016378065597349646,0.02013942132381846,0.9754294277834746
seed-1729__h-1__c-32__turning,1729,1,32,0.1,turning,"dt,dy,theta,r,delta_theta",primary,vectorchain,test,ramp,51,0.011384231533992996,0.014156126944419084,1.0000766759676463
seed-1729__h-1__c-32__turning,1729,1,32,0.1,turning,"dt,dy,theta,r,delta_theta",primary,vectorchain,test,piecewise_linear,51,0.00933766221893007,0.01093878741375208,1.0000762911696908
seed-1729__h-1__c-32__turning,1729,1,32,0.1,turning,"dt,dy,theta,r,delta_theta",primary,vectorchain,test,first_order_response,51,0.010449318709196324,0.012496795106936343,1.0001305853798705
seed-1729__h-1__c-32__turning,1729,1,32,0.1,turning,"dt,dy,theta,r,delta_theta",primary,vectorchain,test,second_order_response,51,0.011313367298329843,0.014222532691268438,1.0000338615102649
seed-1729__h-1__c-32__turning,1729,1,32,0.1,turning,"dt,dy,theta,r,delta_theta",primary,vectorchain,test,regime_change,51,0.0184039698280853,0.022954406652294042,0.8844243262278711
