representation,variant,features,role,split,horizon,context_length,tolerance,signal,n_seeds,mae_mean,mae_median,rmse_mean,rmse_median,rmse_q1,rmse_q3,rmse_min,rmse_max,rmse_ratio_vs_reference_mean,rmse_ratio_vs_reference_median
first_difference,,,baseline,test,16,128,,second_order_response,5,0.05603017848988402,0.05664552551405249,0.07090863899484388,0.07075633160586929,0.0699878839904328,0.07349178984481318,0.06079008889740315,0.07951710063570097,,
first_difference,,,baseline,test,16,128,,sine,5,0.15568058771079318,0.1582473884831409,0.1807918552801056,0.18185749283140062,0.18161368635231873,0.18292157386901325,0.17423827474685968,0.1833282486009358,,
first_difference,,,baseline,validation,1,32,,chirp,5,0.018617774403298926,0.018190866500068667,0.022218715027208603,0.02186252209301567,0.02150850905465085,0.022312483385382317,0.02132136965805953,0.02408869094493465,,
first_difference,,,baseline,validation,1,32,,first_order_response,5,0.009096551123986527,0.008713197585413428,0.011764830060455098,0.012011467735245715,0.010863506914751197,0.012289450295904334,0.01060018405809853,0.01305954129827571,,
first_difference,,,baseline,validation,1,32,,piecewise_linear,5,0.01129165869915949,0.011017121633344213,0.013992817374715926,0.013709151272109905,0.013579609031591573,0.015185005895836476,0.012223486009421105,0.01526683466462057,,
first_difference,,,baseline,validation,1,32,,ramp,5,0.010274274022112125,0.010332298429098347,0.01266851944501729,0.012573604448651231,0.012439366001460343,0.01317787309927032,0.011343214367219728,0.01380853930848483,,
first_difference,,,baseline,validation,1,32,,regime_change,5,0.031230858587089304,0.030610901277453733,0.035818372164284774,0.0361183000109624,0.03446243413325521,0.03727216624150627,0.03177461434073055,0.03946434609496943,,
first_difference,,,baseline,validation,1,32,,second_order_response,5,0.009948627176049276,0.010129742928298763,0.012429704128705973,0.012924790711836396,0.011561119231483737,0.012974619398215126,0.011532217151606163,0.01315577415038845,,
first_difference,,,baseline,validation,1,32,,sine,5,0.011037433940437142,0.01075947533310848,0.013780486229372082,0.013841835840030119,0.013516756944672073,0.014090144896707667,0.012857301291630931,0.014596392173819625,,
first_difference,,,baseline,validation,1,64,,chirp,5,0.028523505164955477,0.028976592090722425,0.03319922503009285,0.03341980532165347,0.03252058348376105,0.03369416440468699,0.03135309470530502,0.03500847723505772,,
first_difference,,,baseline,validation,1,64,,first_order_response,5,0.009704184124489113,0.009129475585031289,0.012351464885207289,0.01240872012333901,0.011442569522242775,0.013035283619951519,0.011307312984698642,0.013563438175804497,,
first_difference,,,baseline,validation,1,64,,piecewise_linear,5,0.011920785111053113,0.01157137292868416,0.014726461767660317,0.01454926611380742,0.014154578022473453,0.015590658478815128,0.01309637860870742,0.01624142761449817,,
first_difference,,,baseline,validation,1,64,,ramp,5,0.010507199257056801,0.010674597035135958,0.012957117906278268,0.012859745715335063,0.012497154275445996,0.013294355122042854,0.012063213387966535,0.014071121030600884,,
first_difference,,,baseline,validation,1,64,,regime_change,5,0.04491176313897063,0.04595975018216763,0.05167239861467852,0.052529191765172435,0.050419872240364996,0.05274617953401769,0.047554207592877026,0.055112541940960436,,
first_difference,,,baseline,validation,1,64,,second_order_response,5,0.010339609822153503,0.010418788126880523,0.012879092160232091,0.013161947953560425,0.012006909441832617,0.013471938507174848,0.011958382060876694,0.013796282837715876,,
first_difference,,,baseline,validation,1,64,,sine,5,0.012801804087079127,0.012394670304131345,0.015874627667892834,0.015674885457785677,0.015137475322367333,0.01694496142922557,0.0146393730856494,0.016976443044436188,,
first_difference,,,baseline,validation,1,128,,chirp,5,0.02966187484812165,0.03037251944496916,0.03408185423607188,0.03488877835064035,0.03488046360775958,0.035196661405654805,0.029679021523817364,0.03576434629248729,,
first_difference,,,baseline,validation,1,128,,first_order_response,5,0.01073459229215133,0.010186448855031059,0.013566684735985204,0.013669969487016738,0.012653091022594534,0.014190294158956982,0.012282460038984184,0.015037608972373587,,
first_difference,,,baseline,validation,1,128,,piecewise_linear,5,0.012905476978273355,0.012349367359012264,0.01585562798149694,0.015251940091804944,0.014997378298751805,0.016664117634072054,0.014237941207442088,0.01812676267541381,,
first_difference,,,baseline,validation,1,128,,ramp,5,0.011516514200863637,0.011767315701172808,0.013955398169997269,0.013822183549483674,0.013571823458125241,0.01417901540657705,0.013495861113420804,0.014708107322379578,,
first_difference,,,baseline,validation,1,128,,regime_change,5,0.03706557365668865,0.03791917273260146,0.042708782668886044,0.04365675805835155,0.040637097762544774,0.045415777743517384,0.03830252494199834,0.045531754838018204,,
first_difference,,,baseline,validation,1,128,,second_order_response,5,0.011233945704027155,0.011153808018728607,0.014072817053172901,0.014081814742034135,0.01360404304795558,0.014753039952525799,0.013091081062055433,0.01483410646129356,,
first_difference,,,baseline,validation,1,128,,sine,5,0.015182434337690915,0.015331532367523413,0.01891934951799525,0.01881653032810734,0.017820322404668652,0.019627213149718593,0.016756924535663572,0.021575757171818075,,
first_difference,,,baseline,validation,4,32,,chirp,5,0.0581722491972829,0.05804776729093627,0.06550771277106872,0.06504204960035896,0.06490890582413666,0.06605086605709395,0.06488644089610046,0.06665030147765354,,
first_difference,,,baseline,validation,4,32,,first_order_response,5,0.013051957748194306,0.01299535107154548,0.016024211398326195,0.01555121809147639,0.014674671101210804,0.01701630482655396,0.014223453147174759,0.018655409825215057,,
first_difference,,,baseline,validation,4,32,,piecewise_linear,5,0.012563215076524812,0.012100462443185953,0.015567208560690864,0.01544207867825742,0.014298452450390905,0.016155094523340723,0.013066182625447953,0.018874234526017327,,
first_difference,,,baseline,validation,4,32,,ramp,5,0.011958360149553444,0.012297577481431135,0.01461295274457013,0.015051458134476156,0.01486932462556143,0.015432379300979815,0.011469759575047821,0.01624184208678543,,
first_difference,,,baseline,validation,4,32,,regime_change,5,0.10339167931238144,0.10320496673454944,0.11480020679890761,0.11499226254569082,0.11477075913389898,0.11594168412683652,0.11188789597986175,0.11640843220825006,,
first_difference,,,baseline,validation,4,32,,second_order_response,5,0.011873770053591321,0.012203024020581153,0.014595828899308827,0.015067701430777423,0.013249963816934402,0.0161077153442073,0.012119037752745166,0.01643472615187985,,
first_difference,,,baseline,validation,4,32,,sine,5,0.01988739758217719,0.01990336928026324,0.024502204628400456,0.02496294776617138,0.024503765932413032,0.025008709601034965,0.022997940215619694,0.025037659626763208,,
first_difference,,,baseline,validation,4,64,,chirp,5,0.08907611183260151,0.08940441918193269,0.10059733757457782,0.10100033802268427,0.09992075347499633,0.10133054173281991,0.0987786609112518,0.10195639373113677,,
first_difference,,,baseline,validation,4,64,,first_order_response,5,0.015895901566907903,0.01601979644721687,0.0194819832017289,0.018975087300193868,0.018477259690757506,0.020719523497274198,0.016962686963120102,0.02227535855729883,,
first_difference,,,baseline,validation,4,64,,piecewise_linear,5,0.01562940796813245,0.015500742572158856,0.019130973203700708,0.018903284499943735,0.017708178589379057,0.019428442983416363,0.01586199119453231,0.02375296875123207,,
first_difference,,,baseline,validation,4,64,,ramp,5,0.014144875217286704,0.014633124088854376,0.017448111931277342,0.018201357089044648,0.018152970988210587,0.018345568060300563,0.013272660285446854,0.01926800323338405,,
first_difference,,,baseline,validation,4,64,,regime_change,5,0.14399521608576446,0.1450627649437251,0.16109925958145477,0.16113989857671446,0.16095130748907246,0.16365679629718502,0.1560226274958522,0.16372566804844965,,
first_difference,,,baseline,validation,4,64,,second_order_response,5,0.01471671564347879,0.014183567211081,0.018067474019680684,0.017951081648025852,0.016006025055621757,0.02018472348164982,0.01543335502981779,0.020762184883288206,,
first_difference,,,baseline,validation,4,64,,sine,5,0.030521705249796,0.030709674321218572,0.03622059995296352,0.03675075783283232,0.035934011361373315,0.03703788738837325,0.034278784192227824,0.037101558990010886,,
first_difference,,,baseline,validation,4,128,,chirp,5,0.0886690849444427,0.08918103437895405,0.09926634598229904,0.09989454036493428,0.09884308950614132,0.09995233245009215,0.09687916904363779,0.10076259854668967,,
