condition_id,seed,horizon,context_length,tolerance,variant,features,role,representation,split,status,error_type,error_message,n_examples,n_representation_features,n_pooled_features,n_model_parameters,mean_input_steps,mean_input_scalar_elements,mean_input_bytes,step_reduction_factor_vs_raw,scalar_reduction_factor_vs_raw,mae,rmse,rmse_ratio_vs_raw,predictive_parity_vs_raw,structural_reduction_success,payload_reduction_success,joint_success,representation_runtime_s,train_runtime_median_s,train_runtime_q1_s,train_runtime_q3_s,inference_runtime_median_s,inference_runtime_q1_s,inference_runtime_q3_s,train_design_bytes,model_state_bytes,rmse_ratio_vs_reference,beats_reference,practical_improvement_vs_reference
seed-1729__h-4__c-32__turning,1729,4,32,0.1,turning,"dt,dy,theta,r,delta_theta",primary,vectorchain,validation,ok,,,357,5,15,16,1.2044817927170868,6.022408963585434,48.17927170868347,26.567441860465117,5.3134883720930235,0.017678664833694367,0.023732286193509883,0.6752746575195904,True,True,True,True,1.0315861,0.000448,0.000448,0.000448,3.55e-05,3.55e-05,3.55e-05,121800,368,0.8948434464602889,True,True
seed-1729__h-4__c-32__turning,1729,4,32,0.1,turning,"dt,dy,theta,r,delta_theta",primary,vectorchain,test,ok,,,364,5,15,16,1.2252747252747254,6.126373626373627,49.010989010989015,26.11659192825112,5.223318385650224,0.017696373838933067,0.024841712681003703,0.62919419478547,True,True,True,True,1.0315861,0.000448,0.000448,0.000448,3.8e-05,3.8e-05,3.8e-05,121800,368,0.8836234320823239,True,True
seed-1729__h-4__c-32__full_relational,1729,4,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,vectorchain,validation,ok,,,357,6,18,19,1.2044817927170868,7.226890756302521,57.81512605042017,26.567441860465117,4.427906976744186,0.01767416899929274,0.024176164263228144,0.6879046927831726,True,True,True,True,0.7410909,0.0004624,0.0004624,0.0004624,4.11e-05,4.11e-05,4.11e-05,146160,440,0.9115801981780164,True,True
seed-1729__h-4__c-32__full_relational,1729,4,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,vectorchain,test,ok,,,364,6,18,19,1.2252747252747254,7.351648351648351,58.81318681318681,26.11659192825112,4.352765321375187,0.018092413905345512,0.024935191183430846,0.631561830697682,True,True,True,True,0.7410909,0.0004624,0.0004624,0.0004624,4.61e-05,4.61e-05,4.61e-05,146160,440,0.886948476381856,True,True
seed-1729__h-16__c-32__raw,1729,16,32,,,,baseline,raw,validation,ok,,,357,1,3,4,32.0,32.0,256.0,1.0,1.0,0.10189921409104837,0.17973171694716894,1.0,,,,,0.0616678,0.0002691,0.0002691,0.0002691,2.85e-05,2.85e-05,2.85e-05,23856,80,,,
seed-1729__h-16__c-32__raw,1729,16,32,,,,baseline,raw,test,ok,,,364,1,3,4,32.0,32.0,256.0,1.0,1.0,0.11621211870840005,0.20406021512480174,1.0,,,,,0.0616678,0.0002691,0.0002691,0.0002691,2.97e-05,2.97e-05,2.97e-05,23856,80,,,
seed-1729__h-16__c-32__first_difference,1729,16,32,,,,baseline,first_difference,validation,ok,,,357,1,3,4,31.0,31.0,248.0,1.032258064516129,1.032258064516129,0.1351067630370161,0.23749190425086927,1.3213689174330794,,,,,0.0690694,0.0002589,0.0002589,0.0002589,2.81e-05,2.81e-05,2.81e-05,23856,80,,,
seed-1729__h-16__c-32__first_difference,1729,16,32,,,,baseline,first_difference,test,ok,,,364,1,3,4,31.0,31.0,248.0,1.032258064516129,1.032258064516129,0.14902901759960122,0.263484052011262,1.2912073617589646,,,,,0.0690694,0.0002589,0.0002589,0.0002589,3.24e-05,3.24e-05,3.24e-05,23856,80,,,
seed-1729__h-16__c-32__segment,1729,16,32,0.1,segment,"dt,dy",secondary,vectorchain,validation,ok,,,357,2,6,7,1.2044817927170868,2.4089635854341735,19.27170868347339,26.567441860465117,13.283720930232558,0.1766783402728341,0.411214855899095,2.287937059099976,False,True,True,False,0.7302401,0.0003011,0.0003011,0.0003011,3.55e-05,3.55e-05,3.55e-05,47712,152,3.738565099251649,False,False
seed-1729__h-16__c-32__segment,1729,16,32,0.1,segment,"dt,dy",secondary,vectorchain,test,ok,,,364,2,6,7,1.2252747252747254,2.4505494505494507,19.604395604395606,26.11659192825112,13.05829596412556,0.17336154185240643,0.40789744822965873,1.9989072734251094,False,True,True,False,0.7302401,0.0003011,0.0003011,0.0003011,3.4e-05,3.4e-05,3.4e-05,47712,152,3.4922191570734666,False,False
seed-1729__h-16__c-32__absolute_geometry,1729,16,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,validation,ok,,,357,4,12,13,1.2044817927170868,4.817927170868347,38.54341736694678,26.567441860465117,6.641860465116279,0.06714613337253192,0.1099926963907645,0.611982672057243,True,True,True,True,0.7324082,0.0003995,0.0003995,0.0003995,3.46e-05,3.46e-05,3.46e-05,95424,296,1.0,False,False
seed-1729__h-16__c-32__absolute_geometry,1729,16,32,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,test,ok,,,364,4,12,13,1.2252747252747254,4.9010989010989015,39.20879120879121,26.11659192825112,6.52914798206278,0.06605633851776696,0.11680178988866297,0.572388840309846,True,True,True,True,0.7324082,0.0003995,0.0003995,0.0003995,3.6e-05,3.6e-05,3.6e-05,95424,296,1.0,False,False
seed-1729__h-16__c-32__turning_matched,1729,16,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,validation,ok,,,357,4,12,13,1.2044817927170868,4.817927170868347,38.54341736694678,26.567441860465117,6.641860465116279,0.0547010730285462,0.09057504661165394,0.5039458151856299,True,True,True,True,0.7339117,0.0004126,0.0004126,0.0004126,3.55e-05,3.55e-05,3.55e-05,95424,296,0.8234641897483208,True,True
seed-1729__h-16__c-32__turning_matched,1729,16,32,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,test,ok,,,364,4,12,13,1.2252747252747254,4.9010989010989015,39.20879120879121,26.11659192825112,6.52914798206278,0.052044636803314934,0.09322826260662473,0.4568664330261879,True,True,True,True,0.7339117,0.0004126,0.0004126,0.0004126,3.65e-05,3.65e-05,3.65e-05,95424,296,0.7981749483076515,True,True
seed-1729__h-16__c-32__turning,1729,16,32,0.1,turning,"dt,dy,theta,r,delta_theta",primary,vectorchain,validation,ok,,,357,5,15,16,1.2044817927170868,6.022408963585434,48.17927170868347,26.567441860465117,5.3134883720930235,0.05705527608782377,0.09652461839439605,0.5370483297768133,True,True,True,True,0.7368076,0.0004395,0.0004395,0.0004395,3.64e-05,3.64e-05,3.64e-05,119280,368,0.8775547973792622,True,True
seed-1729__h-16__c-32__turning,1729,16,32,0.1,turning,"dt,dy,theta,r,delta_theta",primary,vectorchain,test,ok,,,364,5,15,16,1.2252747252747254,6.126373626373627,49.010989010989015,26.11659192825112,5.223318385650224,0.0530178641194238,0.09751287856631356,0.477863254758775,True,True,True,True,0.7368076,0.0004395,0.0004395,0.0004395,3.82e-05,3.82e-05,3.82e-05,119280,368,0.8348577419854966,True,True
seed-1729__h-16__c-32__full_relational,1729,16,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,vectorchain,validation,ok,,,357,6,18,19,1.2044817927170868,7.226890756302521,57.81512605042017,26.567441860465117,4.427906976744186,0.05826461027080233,0.09813117219279381,0.5459869513272323,True,True,True,True,0.7343627,0.0004543,0.0004543,0.0004543,4.96e-05,4.96e-05,4.96e-05,143136,440,0.8921608016969512,True,True
seed-1729__h-16__c-32__full_relational,1729,16,32,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,vectorchain,test,ok,,,364,6,18,19,1.2252747252747254,7.351648351648351,58.81318681318681,26.11659192825112,4.352765321375187,0.05423046185196802,0.09928027004956988,0.48652438197642195,True,True,True,True,0.7343627,0.0004543,0.0004543,0.0004543,3.89e-05,3.89e-05,3.89e-05,143136,440,0.849989286501561,True,True
seed-1729__h-1__c-64__raw,1729,1,64,,,,baseline,raw,validation,ok,,,357,1,3,4,64.0,64.0,512.0,1.0,1.0,0.01420178134604677,0.018368504850147505,1.0,,,,,0.0630544,0.0002426,0.0002426,0.0002426,2.83e-05,2.83e-05,2.83e-05,23184,80,,,
seed-1729__h-1__c-64__raw,1729,1,64,,,,baseline,raw,test,ok,,,357,1,3,4,64.0,64.0,512.0,1.0,1.0,0.015014720083066676,0.019919906342916176,1.0,,,,,0.0630544,0.0002426,0.0002426,0.0002426,2.93e-05,2.93e-05,2.93e-05,23184,80,,,
seed-1729__h-1__c-64__first_difference,1729,1,64,,,,baseline,first_difference,validation,ok,,,357,1,3,4,63.0,63.0,504.0,1.0158730158730158,1.0158730158730158,0.017948765334347055,0.025214933094923953,1.3727264848516763,,,,,0.0703631,0.0002607,0.0002607,0.0002607,3.01e-05,3.01e-05,3.01e-05,23184,80,,,
seed-1729__h-1__c-64__first_difference,1729,1,64,,,,baseline,first_difference,test,ok,,,357,1,3,4,63.0,63.0,504.0,1.0158730158730158,1.0158730158730158,0.019384934237860967,0.028250327616736036,1.4181958052620205,,,,,0.0703631,0.0002607,0.0002607,0.0002607,2.87e-05,2.87e-05,2.87e-05,23184,80,,,
seed-1729__h-1__c-64__segment,1729,1,64,0.1,segment,"dt,dy",secondary,vectorchain,validation,ok,,,357,2,6,7,1.6610644257703082,3.3221288515406164,26.57703081232493,38.529510961214164,19.264755480607082,0.014573568874685442,0.01892714091197294,1.0304127127593048,True,True,True,True,1.4024337,0.0002901,0.0002901,0.0002901,3.47e-05,3.47e-05,3.47e-05,46368,152,1.1780247594661293,False,False
seed-1729__h-1__c-64__segment,1729,1,64,0.1,segment,"dt,dy",secondary,vectorchain,test,ok,,,357,2,6,7,1.6862745098039216,3.372549019607843,26.980392156862745,37.95348837209302,18.97674418604651,0.015104049946153043,0.019996186845817724,1.0038293605194923,True,True,True,True,1.4024337,0.0002901,0.0002901,0.0002901,3.7e-05,3.7e-05,3.7e-05,46368,152,1.2801865547545022,False,False
seed-1729__h-1__c-64__absolute_geometry,1729,1,64,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,validation,ok,,,357,4,12,13,1.6610644257703082,6.644257703081233,53.15406162464986,38.529510961214164,9.632377740303541,0.012664056721875112,0.01606684474148961,0.8746952935236091,True,True,True,True,1.4014547,0.0003712,0.0003712,0.0003712,3.47e-05,3.47e-05,3.47e-05,92736,296,1.0,False,False
seed-1729__h-1__c-64__absolute_geometry,1729,1,64,0.1,absolute_geometry,"dt,dy,theta,r",reference,vectorchain,test,ok,,,357,4,12,13,1.6862745098039216,6.745098039215686,53.96078431372549,37.95348837209302,9.488372093023255,0.012416422009404281,0.015619744459550536,0.7841274045500297,True,True,True,True,1.4014547,0.0003712,0.0003712,0.0003712,3.62e-05,3.62e-05,3.62e-05,92736,296,1.0,False,False
seed-1729__h-1__c-64__turning_matched,1729,1,64,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,validation,ok,,,357,4,12,13,1.6610644257703082,6.644257703081233,53.15406162464986,38.529510961214164,9.632377740303541,0.01268807653089161,0.016179660938546215,0.8808371215045457,True,True,True,True,1.3947871,0.0003839,0.0003839,0.0003839,3.5e-05,3.5e-05,3.5e-05,92736,296,1.0070216771787979,False,False
seed-1729__h-1__c-64__turning_matched,1729,1,64,0.1,turning_matched,"dt,dy,theta,delta_theta",capacity_control,vectorchain,test,ok,,,357,4,12,13,1.6862745098039216,6.745098039215686,53.96078431372549,37.95348837209302,9.488372093023255,0.012294554881426828,0.01553106714733187,0.7796757113195442,True,True,True,True,1.3947871,0.0003839,0.0003839,0.0003839,4.38e-05,4.38e-05,4.38e-05,92736,296,0.9943227424463755,True,False
seed-1729__h-1__c-64__turning,1729,1,64,0.1,turning,"dt,dy,theta,r,delta_theta",primary,vectorchain,validation,ok,,,357,5,15,16,1.6610644257703082,8.305322128851541,66.44257703081233,38.529510961214164,7.705902192242832,0.012687733363530927,0.016178499747455846,0.8807739050860162,True,True,True,True,1.4141255,0.0004475,0.0004475,0.0004475,3.66e-05,3.66e-05,3.66e-05,115920,368,1.00694940467545,False,False
seed-1729__h-1__c-64__turning,1729,1,64,0.1,turning,"dt,dy,theta,r,delta_theta",primary,vectorchain,test,ok,,,357,5,15,16,1.6862745098039216,8.431372549019608,67.45098039215686,37.95348837209302,7.590697674418604,0.012299784382090794,0.015535683342900007,0.7799074491344049,True,True,True,True,1.4141255,0.0004475,0.0004475,0.0004475,3.83e-05,3.83e-05,3.83e-05,115920,368,0.9946182783675996,True,False
seed-1729__h-1__c-64__full_relational,1729,1,64,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,vectorchain,validation,ok,,,357,6,18,19,1.6610644257703082,9.966386554621849,79.73109243697479,38.529510961214164,6.421585160202361,0.01449993870730535,0.018960434564671322,1.0322252529181255,True,True,True,True,1.4220768,0.0004447,0.0004447,0.0004447,4.36e-05,4.36e-05,4.36e-05,139104,440,1.180096955546571,False,False
seed-1729__h-1__c-64__full_relational,1729,1,64,0.1,full_relational,"dt,dy,theta,r,delta_theta,delta_r",secondary,vectorchain,test,ok,,,357,6,18,19,1.6862745098039216,10.117647058823529,80.94117647058823,37.95348837209302,6.325581395348838,0.014268328067435016,0.019605119464345136,0.9841973715562683,True,True,True,True,1.4220768,0.0004447,0.0004447,0.0004447,3.81e-05,3.81e-05,3.81e-05,139104,440,1.255149821120011,False,False
seed-1729__h-4__c-64__raw,1729,4,64,,,,baseline,raw,validation,ok,,,357,1,3,4,64.0,64.0,512.0,1.0,1.0,0.03387273012204715,0.05598291103896755,1.0,,,,,0.0606984,0.0002344,0.0002344,0.0002344,2.74e-05,2.74e-05,2.74e-05,23016,80,,,
seed-1729__h-4__c-64__raw,1729,4,64,,,,baseline,raw,test,ok,,,364,1,3,4,64.0,64.0,512.0,1.0,1.0,0.03844589509166227,0.06256543172248372,1.0,,,,,0.0606984,0.0002344,0.0002344,0.0002344,3.05e-05,3.05e-05,3.05e-05,23016,80,,,
seed-1729__h-4__c-64__first_difference,1729,4,64,,,,baseline,first_difference,validation,ok,,,357,1,3,4,63.0,63.0,504.0,1.0158730158730158,1.0158730158730158,0.045620023474357785,0.07427851461755108,1.3268069351707823,,,,,0.0663243,0.0002518,0.0002518,0.0002518,9.37e-05,9.37e-05,9.37e-05,23016,80,,,
seed-1729__h-4__c-64__first_difference,1729,4,64,,,,baseline,first_difference,test,ok,,,364,1,3,4,63.0,63.0,504.0,1.0158730158730158,1.0158730158730158,0.048406373135147694,0.07954134888893538,1.2713306165895304,,,,,0.0663243,0.0002518,0.0002518,0.0002518,5.4e-05,5.4e-05,5.4e-05,23016,80,,,
