representation,role,causal_scope,split,horizon,context_length,tolerance,selected_parameters,n_seeds,n_successes,n_failures,rmse_mean,rmse_median,rmse_ratio_vs_raw_mean,candidate_rmse_ratio_vs_control_mean,candidate_rmse_ratio_vs_control_median,candidate_predictive_advantage_rate,candidate_pareto_rate,robust_predictive_cell,robust_pareto_cell,mean_input_steps,mean_input_scalar_elements,n_pooled_features,n_model_parameters,representation_runtime_median_s
absolute_geometry,candidate,strict_online,validation,1,64,0.1,,5,5,0,0.01602269093062939,0.01606684474148961,0.8511400900853353,,,,,False,False,1.673389355742297,6.693557422969188,12,13,1.4081034
absolute_geometry,candidate,strict_online,validation,1,128,0.1,,5,5,0,0.015895537820601793,0.015903468097078384,0.7047398564776065,,,,,False,False,2.630252100840336,10.521008403361344,12,13,2.6828323
absolute_geometry,candidate,strict_online,validation,4,32,0.1,,5,5,0,0.036184560932652376,0.035260468455931705,1.0193309778215813,,,,,False,False,1.2106442577030812,4.842577030812325,12,13,0.7762212
absolute_geometry,candidate,strict_online,validation,4,64,0.1,,5,5,0,0.027165123127441453,0.027298119774845545,0.48439684114007664,,,,,False,False,1.6722689075630253,6.689075630252101,12,13,1.4188549
absolute_geometry,candidate,strict_online,validation,4,128,0.1,,5,5,0,0.03220413045036951,0.031619542278915114,0.43508651201999704,,,,,False,False,2.6291316526610644,10.516526610644258,12,13,2.6991958
absolute_geometry,candidate,strict_online,validation,16,32,0.1,,5,5,0,0.18585106141453575,0.1514797028294257,1.0404927621429836,,,,,False,False,1.2106442577030812,4.842577030812325,12,13,0.7667625
absolute_geometry,candidate,strict_online,validation,16,64,0.1,,5,5,0,0.15062178546888066,0.15424986665189677,0.5779047657823476,,,,,False,False,1.6649859943977592,6.659943977591037,12,13,1.4007134
absolute_geometry,candidate,strict_online,validation,16,128,0.1,,5,5,0,0.17466432631281978,0.1798590883501977,0.5843551322640274,,,,,False,False,2.6179271708683474,10.47170868347339,12,13,2.6854954
ewma_geometry,causal_control,strict_online,test,1,32,,"0.2,0.8",5,5,0,0.021985086549534308,0.021614864264804,1.3575930535284744,0.7517510263263322,0.7424866217275803,1.0,1.0,True,True,31.0,124.0,12,13,0.1360263
ewma_geometry,causal_control,strict_online,test,1,64,,0.2,5,5,0,0.01955678893975062,0.01909620891381481,0.9785972880642495,0.7969765941529823,0.8076802634861937,1.0,1.0,True,True,63.0,252.0,12,13,0.1525646
ewma_geometry,causal_control,strict_online,test,1,128,,0.2,5,5,0,0.016296181315112422,0.01619824331837729,0.6990660990622877,0.9569377030081234,0.9522242912779076,1.0,1.0,True,True,127.0,508.0,12,13,0.1854521
ewma_geometry,causal_control,strict_online,test,4,32,,"0.2,0.5",5,5,0,0.04335434327320382,0.04017508687909358,1.094317278441906,0.8507611863426081,0.7292633555656154,0.8,0.8,True,True,31.0,124.0,12,13,0.1339785
ewma_geometry,causal_control,strict_online,test,4,64,,0.2,5,5,0,0.03190106246974927,0.03205515762223421,0.5086929105619635,0.883205556211953,0.858470069033123,1.0,1.0,True,True,63.0,252.0,12,13,0.1514252
ewma_geometry,causal_control,strict_online,test,4,128,,0.2,5,5,0,0.03228901133035038,0.03268001439536954,0.415850635842939,1.028698468410705,1.0290078592696832,0.2,0.2,False,False,127.0,508.0,12,13,0.1846662
ewma_geometry,causal_control,strict_online,test,16,32,,"0.2,0.5",5,5,0,0.1941896418361973,0.160637949490554,0.9513862854991201,0.9834651228425519,0.9261460198225424,0.6,0.6,False,False,31.0,124.0,12,13,0.133797
ewma_geometry,causal_control,strict_online,test,16,64,,0.2,5,5,0,0.1471992394677596,0.14676856307643474,0.5227547060917633,1.094578765442777,1.0541946216352651,0.0,0.0,False,False,63.0,252.0,12,13,0.1531688
ewma_geometry,causal_control,strict_online,test,16,128,,0.2,5,5,0,0.18180994214080098,0.18205140864776442,0.5941534633622793,1.1072099568197302,1.1423728483210236,0.2,0.2,False,False,127.0,508.0,12,13,0.1836541
ewma_geometry,causal_control,strict_online,validation,1,32,,"0.2,0.8",5,5,0,0.020930588389860123,0.020963404394300972,1.3046248736317774,0.8099135485137199,0.7817593413481094,1.0,1.0,True,True,31.0,124.0,12,13,0.1360263
ewma_geometry,causal_control,strict_online,validation,1,64,,0.2,5,5,0,0.019570397117450813,0.019977387459015467,1.0374018066131139,0.8214611489390613,0.7984325798664328,1.0,1.0,True,True,63.0,252.0,12,13,0.1525646
ewma_geometry,causal_control,strict_online,validation,1,128,,0.2,5,5,0,0.016585931907430598,0.016625866374635624,0.7346558867641079,0.9591329039356505,0.9574138105755587,1.0,1.0,True,True,127.0,508.0,12,13,0.1854521
ewma_geometry,causal_control,strict_online,validation,4,32,,"0.2,0.5",5,5,0,0.04225088091201592,0.039123937807851276,1.1891970240984546,0.8705464745237276,0.7265102976424782,0.8,0.8,True,True,31.0,124.0,12,13,0.1339785
ewma_geometry,causal_control,strict_online,validation,4,64,,0.2,5,5,0,0.03043653940578031,0.03035842928328075,0.5426614157858344,0.8937913937804443,0.8739281066862543,1.0,1.0,True,True,63.0,252.0,12,13,0.1514252
ewma_geometry,causal_control,strict_online,validation,4,128,,0.2,5,5,0,0.03057888647864938,0.030037124392838944,0.4130547623578854,1.0545201398802142,1.0149548579264276,0.2,0.4,False,False,127.0,508.0,12,13,0.1846662
ewma_geometry,causal_control,strict_online,validation,16,32,,"0.2,0.5",5,5,0,0.1923760850502167,0.1580959593982521,1.0758292576994033,0.9984175111036071,0.9765340987697525,0.6,0.6,False,False,31.0,124.0,12,13,0.133797
ewma_geometry,causal_control,strict_online,validation,16,64,,0.2,5,5,0,0.13132736717686494,0.1304122365300053,0.5038541983804464,1.1468513850346234,1.1596599525750426,0.0,0.0,False,False,63.0,252.0,12,13,0.1531688
ewma_geometry,causal_control,strict_online,validation,16,128,,0.2,5,5,0,0.1618410449061683,0.16152500707290168,0.5414222872774223,1.0800368499928141,1.0922543879800333,0.2,0.2,False,False,127.0,508.0,12,13,0.1836541
first_difference,baseline,strict_online,test,1,32,,,5,5,0,0.02091522183875479,0.021010094696309572,1.2925571726999756,,,,,False,False,31.0,31.0,3,4,0.0807673
first_difference,baseline,strict_online,test,1,64,,,5,5,0,0.027649809160866873,0.0278570580713848,1.3855916650972238,,,,,False,False,63.0,63.0,3,4,0.0683352
first_difference,baseline,strict_online,test,1,128,,,5,5,0,0.02420693332078524,0.024073298174686477,1.0389395363380083,,,,,False,False,127.0,127.0,3,4,0.0639361
first_difference,baseline,strict_online,test,4,32,,,5,5,0,0.057464092965665126,0.057447486972918134,1.4507666068661837,,,,,False,False,31.0,31.0,3,4,0.0704938
first_difference,baseline,strict_online,test,4,64,,,5,5,0,0.07927765042613802,0.07954134888893538,1.2642252267198277,,,,,False,False,63.0,63.0,3,4,0.069456
first_difference,baseline,strict_online,test,4,128,,,5,5,0,0.06624808441278612,0.06657358625267894,0.8532424378010918,,,,,False,False,127.0,127.0,3,4,0.0626172
first_difference,baseline,strict_online,test,16,32,,,5,5,0,0.262211988771542,0.263484052011262,1.2849624318153752,,,,,False,False,31.0,31.0,3,4,0.0688725
first_difference,baseline,strict_online,test,16,64,,,5,5,0,0.31449204638690315,0.31460222505451735,1.1168870820213175,,,,,False,False,63.0,63.0,3,4,0.0670322
first_difference,baseline,strict_online,test,16,128,,,5,5,0,0.24287884132787294,0.24326769573725232,0.7937389147791984,,,,,False,False,127.0,127.0,3,4,0.0618396
first_difference,baseline,strict_online,validation,1,32,,,5,5,0,0.019356996771762353,0.019667308290078143,1.2065555609582101,,,,,False,False,31.0,31.0,3,4,0.0807673
first_difference,baseline,strict_online,validation,1,64,,,5,5,0,0.026004323600967626,0.026343107103082537,1.3815299098549696,,,,,False,False,63.0,63.0,3,4,0.0683352
first_difference,baseline,strict_online,validation,1,128,,,5,5,0,0.024439199914772593,0.025099143678640537,1.082254412218877,,,,,False,False,127.0,127.0,3,4,0.0639361
first_difference,baseline,strict_online,validation,4,32,,,5,5,0,0.05211254474817428,0.05210197574868698,1.4689309269945692,,,,,False,False,31.0,31.0,3,4,0.0704938
first_difference,baseline,strict_online,validation,4,64,,,5,5,0,0.07443415977393042,0.07427851461755108,1.3272723800556778,,,,,False,False,63.0,63.0,3,4,0.069456
first_difference,baseline,strict_online,validation,4,128,,,5,5,0,0.06696671877330751,0.06703325020004686,0.9046351134721377,,,,,False,False,127.0,127.0,3,4,0.0626172
first_difference,baseline,strict_online,validation,16,32,,,5,5,0,0.23654502115773504,0.23749190425086927,1.322940833735934,,,,,False,False,31.0,31.0,3,4,0.0688725
first_difference,baseline,strict_online,validation,16,64,,,5,5,0,0.29664067760404056,0.29674669288827643,1.1381392249607352,,,,,False,False,63.0,63.0,3,4,0.0670322
first_difference,baseline,strict_online,validation,16,128,,,5,5,0,0.2531594079427052,0.25331020022096534,0.846939927767778,,,,,False,False,127.0,127.0,3,4,0.0618396
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,test,1,32,,32,5,5,0,0.018797217054871102,0.018669121795794916,1.1606116970401092,0.8784779097035592,0.8458661123583253,0.8,0.0,True,False,1.0,4.0,12,13,0.1383186
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,test,1,64,,"16,32",5,5,0,0.016249375626379445,0.016062171924609337,0.8131254451033334,0.958724480046857,0.9671510058953543,1.0,1.0,True,True,2.4,9.6,12,13,0.142714
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,test,1,128,,32,5,5,0,0.01891569408246168,0.01883091037835686,0.8118560165495416,0.824038189494852,0.8190979859113329,1.0,1.0,True,True,4.0,16.0,12,13,0.1344626
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,test,4,32,,"16,32",5,5,0,0.04478391851820316,0.055962283251964166,1.130254801629539,0.9002355720666826,0.9045044129822524,0.6,0.0,False,False,1.4,5.6,12,13,0.1455516
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,test,4,64,,"16,8",5,5,0,0.027193404569527048,0.02729365034053551,0.4336311449661343,1.0357175974094492,1.0226679451677971,0.0,0.2,False,False,4.8,19.2,12,13,0.1493958
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,test,4,128,,"32,8",5,5,0,0.039445891564533146,0.028203722024924494,0.5082885038572171,0.9426914468493784,1.1172856920961007,0.4,0.4,False,False,11.2,44.8,12,13,0.1365021
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,test,16,32,,"16,32,8",5,5,0,0.1956602034461251,0.14817921653495086,0.9591640606848177,1.031918602653873,0.9080849944746135,0.6,0.2,False,False,2.0,8.0,12,13,0.1436714
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,test,16,64,,"16,8",5,5,0,0.13548648689553172,0.13363341955219443,0.4811951233487603,1.1902322804477687,1.2118491141961558,0.0,0.0,False,False,6.4,25.6,12,13,0.1420673
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,test,16,128,,32,5,5,0,0.2844354588496424,0.2843551870415467,0.9295473505434704,0.7072142144423007,0.7231183768495818,1.0,1.0,True,True,4.0,16.0,12,13,0.1322333
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,validation,1,32,,32,5,5,0,0.017994443300092748,0.018438529673838137,1.121197784745247,0.9419598991677687,0.9083862595221448,0.8,0.0,True,False,1.0,4.0,12,13,0.1383186
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,validation,1,64,,"16,32",5,5,0,0.016189416683959866,0.01641452808553462,0.8598359140493752,0.9900402163004145,0.9928652604778271,0.4,1.0,False,True,2.4,9.6,12,13,0.142714
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,validation,1,128,,32,5,5,0,0.017950690056585828,0.018159764385263157,0.795561785908931,0.8862820627417903,0.8784464017673563,1.0,1.0,True,True,4.0,16.0,12,13,0.1344626
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,validation,4,32,,"16,32",5,5,0,0.0413451779289426,0.05069324951683186,1.166219516218225,0.9441022083118217,1.0100978456299519,0.4,0.0,False,False,1.4,5.6,12,13,0.1455516
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,validation,4,64,,"16,8",5,5,0,0.02538707872614443,0.025745291887692413,0.4526543723385161,1.0708168236228528,1.065448701285061,0.0,0.0,False,False,4.8,19.2,12,13,0.1493958
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,validation,4,128,,"32,8",5,5,0,0.03583874213477838,0.026797745729417972,0.4845539343180457,0.9772679578811807,1.1704612149140319,0.4,0.4,False,False,11.2,44.8,12,13,0.1365021
fixed_geometry,causal_control,forecast_causal_fixed_boundaries,validation,16,32,,"16,32,8",5,5,0,0.18116047404666982,0.14400175894038092,1.0138510335394457,1.0834435558334023,1.0351325104224178,0.4,0.2,False,False,2.0,8.0,12,13,0.1436714
