representation,role,causal_scope,split,horizon,context_length,signal,n_seeds,rmse_mean,rmse_median,candidate_rmse_ratio_vs_control_mean,candidate_rmse_ratio_vs_control_median
local_geometry,primary_control,strict_online,validation,1,64,sine,5,0.016384055511589373,0.016234459867363753,0.9295077583180653,0.8996281524618177
local_geometry,primary_control,strict_online,validation,1,128,chirp,5,0.03486162957593576,0.035387580670406364,0.443792029459989,0.42930299533221133
local_geometry,primary_control,strict_online,validation,1,128,first_order_response,5,0.013372249429604305,0.013598835407676325,1.0288303219519215,1.022255770366435
local_geometry,primary_control,strict_online,validation,1,128,piecewise_linear,5,0.015665289011097965,0.014968275462000977,1.0311116724492213,1.02793425297846
local_geometry,primary_control,strict_online,validation,1,128,ramp,5,0.013875527332554297,0.013729783434826228,1.0139460789689094,1.018756320374064
local_geometry,primary_control,strict_online,validation,1,128,regime_change,5,0.047368887949894994,0.045100047213772455,0.4404949854343146,0.4332601488798598
local_geometry,primary_control,strict_online,validation,1,128,second_order_response,5,0.013892761905076148,0.013847697280118865,1.033317383982682,1.0438027193472665
local_geometry,primary_control,strict_online,validation,1,128,sine,5,0.01923935596836385,0.018932077626254155,0.802635576743328,0.8282713568969535
local_geometry,primary_control,strict_online,validation,4,32,chirp,5,0.06630291027662799,0.06562838186945409,0.7188256614994135,0.6342556251431255
local_geometry,primary_control,strict_online,validation,4,32,first_order_response,5,0.016385882538187596,0.015941862694941373,1.0318022061769445,1.029726112925331
local_geometry,primary_control,strict_online,validation,4,32,piecewise_linear,5,0.015760790345397284,0.015783564003304225,1.0367521354118003,1.029705792826882
local_geometry,primary_control,strict_online,validation,4,32,ramp,5,0.014730368613673744,0.01524549546962311,1.0391329894090873,1.0081874837848244
local_geometry,primary_control,strict_online,validation,4,32,regime_change,5,0.11517091333790415,0.11585536147799794,0.6228534914816117,0.612519719625006
local_geometry,primary_control,strict_online,validation,4,32,second_order_response,5,0.01472305887709148,0.015368945719815954,1.038106772054761,1.0261744028920858
local_geometry,primary_control,strict_online,validation,4,32,sine,5,0.025227095778297143,0.0247179860937865,0.956017245989657,0.9748729353040825
local_geometry,primary_control,strict_online,validation,4,64,chirp,5,0.10552812035489167,0.10535464609405114,0.28446145271067924,0.28469877074748473
local_geometry,primary_control,strict_online,validation,4,64,first_order_response,5,0.019381233003346,0.018464286991286414,0.8384648355791331,0.8375067072733593
local_geometry,primary_control,strict_online,validation,4,64,piecewise_linear,5,0.01890676924068347,0.018577748211334746,0.9198508528987634,0.9350475570268473
local_geometry,primary_control,strict_online,validation,4,64,ramp,5,0.017400217629805304,0.018110335363943027,0.8413483354444308,0.8544733472691359
local_geometry,primary_control,strict_online,validation,4,64,regime_change,5,0.1679155055537323,0.17028486986831814,0.30844503208621354,0.30239555320989114
local_geometry,primary_control,strict_online,validation,4,64,second_order_response,5,0.01792113872903791,0.018695598192972996,0.8510077249884347,0.8653827436575204
local_geometry,primary_control,strict_online,validation,4,64,sine,5,0.03775826654566079,0.038104932374371694,0.6209591713557725,0.6230964630761845
local_geometry,primary_control,strict_online,validation,4,128,chirp,5,0.10126585456838237,0.10240393191066058,0.3202019365019665,0.32383800439920146
local_geometry,primary_control,strict_online,validation,4,128,first_order_response,5,0.024786865987485383,0.024278736031668517,0.6449028544368096,0.6438520882467675
local_geometry,primary_control,strict_online,validation,4,128,piecewise_linear,5,0.024355421694668897,0.022899341056269246,0.6969150505696978,0.7073305457229314
local_geometry,primary_control,strict_online,validation,4,128,ramp,5,0.022333768268293763,0.022961785413815394,0.6532006210161467,0.6615938515155083
local_geometry,primary_control,strict_online,validation,4,128,regime_change,5,0.14382097346576844,0.14418847704216106,0.4681762064148055,0.47702188490809116
local_geometry,primary_control,strict_online,validation,4,128,second_order_response,5,0.023283661629234745,0.022478440074977176,0.745191820274689,0.7229646723976882
local_geometry,primary_control,strict_online,validation,4,128,sine,5,0.04987155708281317,0.04983119856779001,0.4875519739969363,0.45335379509722246
local_geometry,primary_control,strict_online,validation,16,32,chirp,5,0.3146895169097376,0.3142203679114674,0.7988722012785174,0.7798752989474588
local_geometry,primary_control,strict_online,validation,16,32,first_order_response,5,0.03755283503839004,0.03479724578850586,0.5399172264050435,0.5361774026036126
local_geometry,primary_control,strict_online,validation,16,32,piecewise_linear,5,0.04741904404782247,0.050411310051358564,0.8705501392456414,0.9057163745059651
local_geometry,primary_control,strict_online,validation,16,32,ramp,5,0.03314482698350058,0.03476509662111883,0.5979899183040795,0.6098152480497265
