condition_id,seed,horizon,context_length,tolerance,role,causal_scope,selected_parameter,representation,split,signal,n_examples,mae,rmse,candidate_rmse_ratio_vs_control
seed-1729__h-1__c-32__local_geometry,1729,1,32,,primary_control,strict_online,1,local_geometry,test,sine,51,0.009612350901985511,0.013010758206307694,1.1360207992066582
seed-1729__h-1__c-32__local_geometry,1729,1,32,,primary_control,strict_online,1,local_geometry,test,chirp,51,0.02642926538262706,0.0317389417278476,0.6505170620509539
seed-1729__h-1__c-32__local_geometry,1729,1,32,,primary_control,strict_online,1,local_geometry,test,ramp,51,0.010551899021180908,0.012930300199089662,1.0947187130198601
seed-1729__h-1__c-32__local_geometry,1729,1,32,,primary_control,strict_online,1,local_geometry,test,piecewise_linear,51,0.008257072385302478,0.010103610508227312,1.082578642122161
seed-1729__h-1__c-32__local_geometry,1729,1,32,,primary_control,strict_online,1,local_geometry,test,first_order_response,51,0.008689030479546134,0.010818220980128036,1.1550109250150065
seed-1729__h-1__c-32__local_geometry,1729,1,32,,primary_control,strict_online,1,local_geometry,test,second_order_response,51,0.0105139372966841,0.013471428346520566,1.0557196123016945
seed-1729__h-1__c-32__local_geometry,1729,1,32,,primary_control,strict_online,1,local_geometry,test,regime_change,51,0.03229599286078057,0.03661272731636125,0.7088809583591664
seed-1729__h-1__c-32__moving_average_geometry,1729,1,32,,causal_control,strict_online,8,moving_average_geometry,validation,sine,51,0.01181520260246602,0.014901559130292338,1.0005000717619317
seed-1729__h-1__c-32__moving_average_geometry,1729,1,32,,causal_control,strict_online,8,moving_average_geometry,validation,chirp,51,0.01517138569220875,0.019373559176526178,0.9126398181021024
seed-1729__h-1__c-32__moving_average_geometry,1729,1,32,,causal_control,strict_online,8,moving_average_geometry,validation,ramp,51,0.011638850029735893,0.014004466884818505,0.9947647968665143
seed-1729__h-1__c-32__moving_average_geometry,1729,1,32,,causal_control,strict_online,8,moving_average_geometry,validation,piecewise_linear,51,0.01431981962677395,0.01740091772473807,0.9950416653891996
seed-1729__h-1__c-32__moving_average_geometry,1729,1,32,,causal_control,strict_online,8,moving_average_geometry,validation,first_order_response,51,0.010836299434393185,0.014324792607034108,0.9806746733303283
seed-1729__h-1__c-32__moving_average_geometry,1729,1,32,,causal_control,strict_online,8,moving_average_geometry,validation,second_order_response,51,0.011053408342731878,0.01394082561166209,0.9907390921563549
seed-1729__h-1__c-32__moving_average_geometry,1729,1,32,,causal_control,strict_online,8,moving_average_geometry,validation,regime_change,51,0.022122478428282532,0.027424534868583983,0.7535663071263062
