condition_id,seed,horizon,context_length,tolerance,representation,split,status,error_type,error_message,n_examples,n_representation_features,n_pooled_features,n_model_parameters,mean_input_steps,mean_input_scalar_elements,mean_input_bytes,step_reduction_factor_vs_raw,scalar_reduction_factor_vs_raw,mae,rmse,rmse_ratio_vs_raw,predictive_parity_vs_raw,structural_reduction_success,payload_reduction_success,joint_success,representation_runtime_s,train_runtime_median_s,train_runtime_q1_s,train_runtime_q3_s,inference_runtime_median_s,inference_runtime_q1_s,inference_runtime_q3_s,train_design_bytes,model_state_bytes
seed-1729__h-1__c-64__tol-na__raw,1729,1,64,,raw,test,ok,,,357,1,3,4,64.0,64.0,512.0,1.0,1.0,0.015014720083066676,0.019919906342916176,1.0,,,,,0.0631337,0.0002452,0.0002452,0.0002452,2.86e-05,2.86e-05,2.86e-05,23184,80
seed-1729__h-1__c-64__tol-na__first_difference,1729,1,64,,first_difference,validation,ok,,,357,1,3,4,63.0,63.0,504.0,1.0158730158730158,1.0158730158730158,0.017948765334347055,0.025214933094923953,1.3727264848516763,,,,,0.0710979,0.0002957,0.0002957,0.0002957,5.11e-05,5.11e-05,5.11e-05,23184,80
seed-1729__h-1__c-64__tol-na__first_difference,1729,1,64,,first_difference,test,ok,,,357,1,3,4,63.0,63.0,504.0,1.0158730158730158,1.0158730158730158,0.019384934237860967,0.028250327616736036,1.4181958052620205,,,,,0.0710979,0.0002957,0.0002957,0.0002957,3.11e-05,3.11e-05,3.11e-05,23184,80
seed-1729__h-1__c-64__tol-0p01__vectorchain,1729,1,64,0.01,vectorchain,validation,ok,,,357,5,15,16,33.9859943977591,169.92997198879553,1359.4397759103642,1.8831286573806976,0.3766257314761394,0.016426419223304265,0.021840874556937246,1.1890393222049238,False,False,False,False,4.1533723,0.0006816,0.0006816,0.0006816,5.69e-05,5.69e-05,5.69e-05,115920,368
seed-1729__h-1__c-64__tol-0p01__vectorchain,1729,1,64,0.01,vectorchain,test,ok,,,357,5,15,16,32.63305322128851,163.16526610644257,1305.3221288515406,1.9612017167381977,0.3922403433476395,0.017056027819061872,0.024248064657748383,1.2172780454046346,False,False,False,False,4.1533723,0.0006816,0.0006816,0.0006816,7.15e-05,7.15e-05,7.15e-05,115920,368
seed-1729__h-1__c-64__tol-0p03__vectorchain,1729,1,64,0.03,vectorchain,validation,ok,,,357,5,15,16,6.07563025210084,30.3781512605042,243.0252100840336,10.533886583679115,2.106777316735823,0.014986942146939233,0.019263344802218096,1.0487159929112795,True,True,True,True,1.680627,0.0004384,0.0004384,0.0004384,3.6e-05,3.6e-05,3.6e-05,115920,368
seed-1729__h-1__c-64__tol-0p03__vectorchain,1729,1,64,0.03,vectorchain,test,ok,,,357,5,15,16,5.515406162464986,27.57703081232493,220.61624649859945,11.603859827323515,2.3207719654647025,0.015227254689268655,0.02021148038095997,1.0146373197255258,True,True,True,True,1.680627,0.0004384,0.0004384,0.0004384,3.66e-05,3.66e-05,3.66e-05,115920,368
seed-1729__h-1__c-64__tol-0p1__vectorchain,1729,1,64,0.1,vectorchain,validation,ok,,,357,5,15,16,1.6610644257703082,8.305322128851541,66.44257703081233,38.529510961214164,7.705902192242832,0.012687733363530927,0.016178499747455846,0.8807739050860162,True,True,True,True,1.3823994,0.0003822,0.0003822,0.0003822,3.7e-05,3.7e-05,3.7e-05,115920,368
seed-1729__h-1__c-64__tol-0p1__vectorchain,1729,1,64,0.1,vectorchain,test,ok,,,357,5,15,16,1.6862745098039216,8.431372549019608,67.45098039215686,37.95348837209302,7.590697674418604,0.012299784382090794,0.015535683342900007,0.7799074491344049,True,True,True,True,1.3823994,0.0003822,0.0003822,0.0003822,3.8e-05,3.8e-05,3.8e-05,115920,368
seed-1729__h-4__c-64__tol-na__raw,1729,4,64,,raw,validation,ok,,,357,1,3,4,64.0,64.0,512.0,1.0,1.0,0.03387273012204715,0.05598291103896755,1.0,,,,,0.0597369,0.0003196,0.0003196,0.0003196,6.3e-05,6.3e-05,6.3e-05,23016,80
seed-1729__h-4__c-64__tol-na__raw,1729,4,64,,raw,test,ok,,,364,1,3,4,64.0,64.0,512.0,1.0,1.0,0.03844589509166227,0.06256543172248372,1.0,,,,,0.0597369,0.0003196,0.0003196,0.0003196,4.69e-05,4.69e-05,4.69e-05,23016,80
seed-1729__h-4__c-64__tol-na__first_difference,1729,4,64,,first_difference,validation,ok,,,357,1,3,4,63.0,63.0,504.0,1.0158730158730158,1.0158730158730158,0.045620023474357785,0.07427851461755108,1.3268069351707823,,,,,0.0696028,0.0002347,0.0002347,0.0002347,2.72e-05,2.72e-05,2.72e-05,23016,80
seed-1729__h-4__c-64__tol-na__first_difference,1729,4,64,,first_difference,test,ok,,,364,1,3,4,63.0,63.0,504.0,1.0158730158730158,1.0158730158730158,0.048406373135147694,0.07954134888893538,1.2713306165895304,,,,,0.0696028,0.0002347,0.0002347,0.0002347,2.88e-05,2.88e-05,2.88e-05,23016,80
seed-1729__h-4__c-64__tol-0p01__vectorchain,1729,4,64,0.01,vectorchain,validation,ok,,,357,5,15,16,33.938375350140056,169.6918767507003,1357.5350140056023,1.885770881479036,0.37715417629580716,0.03571348442232464,0.054848165757852695,0.9797305059694913,True,False,False,False,4.1493552,0.0003683,0.0003683,0.0003683,3.7e-05,3.7e-05,3.7e-05,115080,368
seed-1729__h-4__c-64__tol-0p01__vectorchain,1729,4,64,0.01,vectorchain,test,ok,,,364,5,15,16,32.66208791208791,163.31043956043956,1306.4835164835165,1.959458322819413,0.3918916645638826,0.03702987219017355,0.05816731526196055,0.9297037303277706,True,False,False,False,4.1493552,0.0003683,0.0003683,0.0003683,3.9e-05,3.9e-05,3.9e-05,115080,368
seed-1729__h-4__c-64__tol-0p03__vectorchain,1729,4,64,0.03,vectorchain,validation,ok,,,357,5,15,16,6.044817927170868,30.22408963585434,241.79271708683473,10.58758109360519,2.117516218721038,0.03178998299238965,0.04687028109000284,0.8372247927118016,True,True,True,True,1.6683948,0.0004078,0.0004078,0.0004078,3.59e-05,3.59e-05,3.59e-05,115080,368
seed-1729__h-4__c-64__tol-0p03__vectorchain,1729,4,64,0.03,vectorchain,test,ok,,,364,5,15,16,5.5576923076923075,27.78846153846154,222.30769230769232,11.515570934256056,2.303114186851211,0.032012337486592504,0.047381698874915855,0.7573143438869393,True,True,True,True,1.6683948,0.0004078,0.0004078,0.0004078,3.7e-05,3.7e-05,3.7e-05,115080,368
seed-1729__h-4__c-64__tol-0p1__vectorchain,1729,4,64,0.1,vectorchain,validation,ok,,,357,5,15,16,1.658263305322129,8.291316526610645,66.33053221288516,38.59459459459459,7.718918918918918,0.017961508742339614,0.02516716589555154,0.4495508616555085,True,True,True,True,1.4305354,0.0003916,0.0003916,0.0003916,4.48e-05,4.48e-05,4.48e-05,115080,368
seed-1729__h-4__c-64__tol-0p1__vectorchain,1729,4,64,0.1,vectorchain,test,ok,,,364,5,15,16,1.6868131868131868,8.434065934065934,67.47252747252747,37.9413680781759,7.588273615635179,0.019020941868708154,0.02618252654553255,0.4184823124320185,True,True,True,True,1.4305354,0.0003916,0.0003916,0.0003916,3.76e-05,3.76e-05,3.76e-05,115080,368
seed-1729__h-16__c-64__tol-na__raw,1729,16,64,,raw,validation,ok,,,357,1,3,4,64.0,64.0,512.0,1.0,1.0,0.14059705138490597,0.26147751344219855,1.0,,,,,0.0587511,0.0002372,0.0002372,0.0002372,2.76e-05,2.76e-05,2.76e-05,22512,80
seed-1729__h-16__c-64__tol-na__raw,1729,16,64,,raw,test,ok,,,364,1,3,4,64.0,64.0,512.0,1.0,1.0,0.15380449309528343,0.28158924729638174,1.0,,,,,0.0587511,0.0002372,0.0002372,0.0002372,2.88e-05,2.88e-05,2.88e-05,22512,80
seed-1729__h-16__c-64__tol-na__first_difference,1729,16,64,,first_difference,validation,ok,,,357,1,3,4,63.0,63.0,504.0,1.0158730158730158,1.0158730158730158,0.17354572646356817,0.29674669288827643,1.1348841779232934,,,,,0.0660902,0.0002494,0.0002494,0.0002494,2.82e-05,2.82e-05,2.82e-05,22512,80
seed-1729__h-16__c-64__tol-na__first_difference,1729,16,64,,first_difference,test,ok,,,364,1,3,4,63.0,63.0,504.0,1.0158730158730158,1.0158730158730158,0.18287821114290245,0.31681257290854076,1.125087608814428,,,,,0.0660902,0.0002494,0.0002494,0.0002494,3.39e-05,3.39e-05,3.39e-05,22512,80
seed-1729__h-16__c-64__tol-0p01__vectorchain,1729,16,64,0.01,vectorchain,validation,ok,,,357,5,15,16,33.81512605042017,169.07563025210084,1352.6050420168067,1.8926441351888668,0.37852882703777335,0.13202921896343572,0.2107795738551283,0.8061097533028309,True,False,False,False,4.059603,0.0005636,0.0005636,0.0005636,3.66e-05,3.66e-05,3.66e-05,112560,368
seed-1729__h-16__c-64__tol-0p01__vectorchain,1729,16,64,0.01,vectorchain,test,ok,,,364,5,15,16,32.82142857142857,164.10714285714286,1312.857142857143,1.9499455930359086,0.3899891186071817,0.14753036622826957,0.24055251438619538,0.8542674008180651,True,False,False,False,4.059603,0.0005636,0.0005636,0.0005636,3.77e-05,3.77e-05,3.77e-05,112560,368
seed-1729__h-16__c-64__tol-0p03__vectorchain,1729,16,64,0.03,vectorchain,validation,ok,,,357,5,15,16,5.957983193277311,29.789915966386555,238.31932773109244,10.741889985895627,2.1483779971791255,0.11982318189085552,0.18869294932175712,0.7216412105107043,True,True,True,True,1.635658,0.0004435,0.0004435,0.0004435,4.19e-05,4.19e-05,4.19e-05,112560,368
seed-1729__h-16__c-64__tol-0p03__vectorchain,1729,16,64,0.03,vectorchain,test,ok,,,364,5,15,16,5.678571428571429,28.392857142857142,227.14285714285714,11.270440251572326,2.2540880503144654,0.11954912022511863,0.19503048534778414,0.6926062952343783,True,True,True,True,1.635658,0.0004435,0.0004435,0.0004435,3.73e-05,3.73e-05,3.73e-05,112560,368
seed-1729__h-16__c-64__tol-0p1__vectorchain,1729,16,64,0.1,vectorchain,validation,ok,,,357,5,15,16,1.6526610644257702,8.263305322128852,66.10644257703082,38.72542372881356,7.745084745762711,0.08024329296792256,0.15432743848427335,0.5902130414682428,True,True,True,True,1.3534154,0.0004355,0.0004355,0.0004355,3.67e-05,3.67e-05,3.67e-05,112560,368
