condition_id,seed,horizon,context_length,tolerance,representation,split,signal,n_examples,mae,rmse
seed-1729__h-4__c-32__tol-na__raw,1729,4,32,,raw,test,chirp,52,0.05293583101036135,0.060770644367838605
seed-1729__h-4__c-32__tol-na__raw,1729,4,32,,raw,test,ramp,52,0.01376404177573252,0.0164134708067434
seed-1729__h-4__c-32__tol-na__raw,1729,4,32,,raw,test,piecewise_linear,52,0.012362590365774426,0.015569873481231013
seed-1729__h-4__c-32__tol-na__raw,1729,4,32,,raw,test,first_order_response,52,0.01414323104375482,0.017415186673842193
seed-1729__h-4__c-32__tol-na__raw,1729,4,32,,raw,test,second_order_response,52,0.014184371502245332,0.017039324003800947
seed-1729__h-4__c-32__tol-na__raw,1729,4,32,,raw,test,regime_change,52,0.06924983014497481,0.07606044299504565
seed-1729__h-4__c-32__tol-na__first_difference,1729,4,32,,first_difference,validation,sine,51,0.01990336928026324,0.025008709601034965
seed-1729__h-4__c-32__tol-na__first_difference,1729,4,32,,first_difference,validation,chirp,51,0.05855823557134459,0.06605086605709395
seed-1729__h-4__c-32__tol-na__first_difference,1729,4,32,,first_difference,validation,ramp,51,0.00934221868995489,0.011469759575047821
seed-1729__h-4__c-32__tol-na__first_difference,1729,4,32,,first_difference,validation,piecewise_linear,51,0.013093901578812886,0.016155094523340723
seed-1729__h-4__c-32__tol-na__first_difference,1729,4,32,,first_difference,validation,first_order_response,51,0.011455669056057155,0.014223453147174759
seed-1729__h-4__c-32__tol-na__first_difference,1729,4,32,,first_difference,validation,second_order_response,51,0.010751265139616318,0.013249963816934402
seed-1729__h-4__c-32__tol-na__first_difference,1729,4,32,,first_difference,validation,regime_change,51,0.10285088905594653,0.11477075913389898
seed-1729__h-4__c-32__tol-na__first_difference,1729,4,32,,first_difference,test,sine,52,0.01874845753778755,0.023109555725616255
seed-1729__h-4__c-32__tol-na__first_difference,1729,4,32,,first_difference,test,chirp,52,0.08235567076612262,0.09400754093880637
seed-1729__h-4__c-32__tol-na__first_difference,1729,4,32,,first_difference,test,ramp,52,0.012130908598248981,0.014249059761940248
seed-1729__h-4__c-32__tol-na__first_difference,1729,4,32,,first_difference,test,piecewise_linear,52,0.011116287657394131,0.01382502164571395
seed-1729__h-4__c-32__tol-na__first_difference,1729,4,32,,first_difference,test,first_order_response,52,0.012142436002255728,0.015202468269831617
seed-1729__h-4__c-32__tol-na__first_difference,1729,4,32,,first_difference,test,second_order_response,52,0.011277268437640625,0.014153421003776454
seed-1729__h-4__c-32__tol-na__first_difference,1729,4,32,,first_difference,test,regime_change,52,0.10294018863726456,0.11359764831245096
seed-1729__h-4__c-32__tol-0p01__vectorchain,1729,4,32,0.01,vectorchain,validation,sine,51,0.019195047602854516,0.023082371695819007
seed-1729__h-4__c-32__tol-0p01__vectorchain,1729,4,32,0.01,vectorchain,validation,chirp,51,0.05371428774673466,0.0600862157081396
seed-1729__h-4__c-32__tol-0p01__vectorchain,1729,4,32,0.01,vectorchain,validation,ramp,51,0.01202692156249284,0.014867089051959721
seed-1729__h-4__c-32__tol-0p01__vectorchain,1729,4,32,0.01,vectorchain,validation,piecewise_linear,51,0.014659004029816049,0.01845223281401878
seed-1729__h-4__c-32__tol-0p01__vectorchain,1729,4,32,0.01,vectorchain,validation,first_order_response,51,0.013973429799259333,0.0175985670212605
seed-1729__h-4__c-32__tol-0p01__vectorchain,1729,4,32,0.01,vectorchain,validation,second_order_response,51,0.012574139460644172,0.015696305709396667
seed-1729__h-4__c-32__tol-0p01__vectorchain,1729,4,32,0.01,vectorchain,validation,regime_change,51,0.08850910520990037,0.10507879790816366
seed-1729__h-4__c-32__tol-0p01__vectorchain,1729,4,32,0.01,vectorchain,test,sine,52,0.020870973177638846,0.025865138236549953
seed-1729__h-4__c-32__tol-0p01__vectorchain,1729,4,32,0.01,vectorchain,test,chirp,52,0.07308942461930266,0.0882156263273428
seed-1729__h-4__c-32__tol-0p01__vectorchain,1729,4,32,0.01,vectorchain,test,ramp,52,0.013366748681914297,0.015631782420120678
seed-1729__h-4__c-32__tol-0p01__vectorchain,1729,4,32,0.01,vectorchain,test,piecewise_linear,52,0.012275511290688075,0.015144452457024216
seed-1729__h-4__c-32__tol-0p01__vectorchain,1729,4,32,0.01,vectorchain,test,first_order_response,52,0.013434885005566825,0.01697768114729685
seed-1729__h-4__c-32__tol-0p01__vectorchain,1729,4,32,0.01,vectorchain,test,second_order_response,52,0.012667188655546847,0.016314372751642266
seed-1729__h-4__c-32__tol-0p01__vectorchain,1729,4,32,0.01,vectorchain,test,regime_change,52,0.09199281839392745,0.10624867917656625
seed-1729__h-4__c-32__tol-0p03__vectorchain,1729,4,32,0.03,vectorchain,validation,sine,51,0.023417095234034378,0.02832292063084579
seed-1729__h-4__c-32__tol-0p03__vectorchain,1729,4,32,0.03,vectorchain,validation,chirp,51,0.05762309592241187,0.06622879888390801
seed-1729__h-4__c-32__tol-0p03__vectorchain,1729,4,32,0.03,vectorchain,validation,ramp,51,0.0111842048493909,0.014189084158128756
seed-1729__h-4__c-32__tol-0p03__vectorchain,1729,4,32,0.03,vectorchain,validation,piecewise_linear,51,0.016451408976689497,0.020890811994397924
seed-1729__h-4__c-32__tol-0p03__vectorchain,1729,4,32,0.03,vectorchain,validation,first_order_response,51,0.013656001577244746,0.017637289436959254
seed-1729__h-4__c-32__tol-0p03__vectorchain,1729,4,32,0.03,vectorchain,validation,second_order_response,51,0.013379044591635915,0.01638580978487992
seed-1729__h-4__c-32__tol-0p03__vectorchain,1729,4,32,0.03,vectorchain,validation,regime_change,51,0.08370096205002478,0.09898745763694189
seed-1729__h-4__c-32__tol-0p03__vectorchain,1729,4,32,0.03,vectorchain,test,sine,52,0.02328738587264676,0.02966665081339143
seed-1729__h-4__c-32__tol-0p03__vectorchain,1729,4,32,0.03,vectorchain,test,chirp,52,0.06270204596121733,0.07447501950267066
seed-1729__h-4__c-32__tol-0p03__vectorchain,1729,4,32,0.03,vectorchain,test,ramp,52,0.013520049058443022,0.015964274836233416
seed-1729__h-4__c-32__tol-0p03__vectorchain,1729,4,32,0.03,vectorchain,test,piecewise_linear,52,0.014050110156434122,0.01761289965444222
seed-1729__h-4__c-32__tol-0p03__vectorchain,1729,4,32,0.03,vectorchain,test,first_order_response,52,0.013937931163964438,0.017997001867740517
seed-1729__h-4__c-32__tol-0p03__vectorchain,1729,4,32,0.03,vectorchain,test,second_order_response,52,0.014438399574664317,0.01761541490634876
seed-1729__h-4__c-32__tol-0p03__vectorchain,1729,4,32,0.03,vectorchain,test,regime_change,52,0.08240997906795179,0.09910957235216929
seed-1729__h-4__c-32__tol-0p1__vectorchain,1729,4,32,0.1,vectorchain,validation,sine,51,0.020024231160353723,0.02441159669134883
seed-1729__h-4__c-32__tol-0p1__vectorchain,1729,4,32,0.1,vectorchain,validation,chirp,51,0.026486914741413264,0.034707696184535924
seed-1729__h-4__c-32__tol-0p1__vectorchain,1729,4,32,0.1,vectorchain,validation,ramp,51,0.009699975847625514,0.012047235935736275
seed-1729__h-4__c-32__tol-0p1__vectorchain,1729,4,32,0.1,vectorchain,validation,piecewise_linear,51,0.013818211535929794,0.01675882274763963
seed-1729__h-4__c-32__tol-0p1__vectorchain,1729,4,32,0.1,vectorchain,validation,first_order_response,51,0.01207320889857419,0.014937268616297166
seed-1729__h-4__c-32__tol-0p1__vectorchain,1729,4,32,0.1,vectorchain,validation,second_order_response,51,0.01149501659772159,0.013969625417657843
seed-1729__h-4__c-32__tol-0p1__vectorchain,1729,4,32,0.1,vectorchain,validation,regime_change,51,0.030153095054242487,0.03602406371763614
seed-1729__h-4__c-32__tol-0p1__vectorchain,1729,4,32,0.1,vectorchain,test,sine,52,0.018747017939726864,0.023212212415905233
seed-1729__h-4__c-32__tol-0p1__vectorchain,1729,4,32,0.1,vectorchain,test,chirp,52,0.027265264323189785,0.038313053621946105
seed-1729__h-4__c-32__tol-0p1__vectorchain,1729,4,32,0.1,vectorchain,test,ramp,52,0.01259854390051791,0.014833120382105444
seed-1729__h-4__c-32__tol-0p1__vectorchain,1729,4,32,0.1,vectorchain,test,piecewise_linear,52,0.011550572041735955,0.014646381113699813
seed-1729__h-4__c-32__tol-0p1__vectorchain,1729,4,32,0.1,vectorchain,test,first_order_response,52,0.012509205948794495,0.01570948070287412
seed-1729__h-4__c-32__tol-0p1__vectorchain,1729,4,32,0.1,vectorchain,test,second_order_response,52,0.011938646529266841,0.014818806527416632
seed-1729__h-4__c-32__tol-0p1__vectorchain,1729,4,32,0.1,vectorchain,test,regime_change,52,0.02926536618929961,0.03757865336265796
seed-1729__h-16__c-32__tol-na__raw,1729,16,32,,raw,validation,sine,51,0.03147719220698725,0.03808667061112778
seed-1729__h-16__c-32__tol-na__raw,1729,16,32,,raw,validation,chirp,51,0.18870375521241475,0.211424617750973
seed-1729__h-16__c-32__tol-na__raw,1729,16,32,,raw,validation,ramp,51,0.018207126586869266,0.021968516188559876
seed-1729__h-16__c-32__tol-na__raw,1729,16,32,,raw,validation,piecewise_linear,51,0.02927565515684303,0.034381587115840155
seed-1729__h-16__c-32__tol-na__raw,1729,16,32,,raw,validation,first_order_response,51,0.03572672123932302,0.04068206903486846
seed-1729__h-16__c-32__tol-na__raw,1729,16,32,,raw,validation,second_order_response,51,0.03898773558933959,0.04392911517293984
seed-1729__h-16__c-32__tol-na__raw,1729,16,32,,raw,validation,regime_change,51,0.3709163126455615,0.41799995207067764
seed-1729__h-16__c-32__tol-na__raw,1729,16,32,,raw,test,sine,52,0.02540764242802479,0.033879054353144956
seed-1729__h-16__c-32__tol-na__raw,1729,16,32,,raw,test,chirp,52,0.2848932154745103,0.32369689448523103
seed-1729__h-16__c-32__tol-na__raw,1729,16,32,,raw,test,ramp,52,0.028522552480684523,0.0334321523705819
seed-1729__h-16__c-32__tol-na__raw,1729,16,32,,raw,test,piecewise_linear,52,0.01845461346171429,0.023773652702192474
seed-1729__h-16__c-32__tol-na__raw,1729,16,32,,raw,test,first_order_response,52,0.03512940268974652,0.04120014284508577
seed-1729__h-16__c-32__tol-na__raw,1729,16,32,,raw,test,second_order_response,52,0.036993968407473675,0.04145343795312044
seed-1729__h-16__c-32__tol-na__raw,1729,16,32,,raw,test,regime_change,52,0.38408343601664624,0.4248032430322224
seed-1729__h-16__c-32__tol-na__first_difference,1729,16,32,,first_difference,validation,sine,51,0.08919173044685964,0.10051784823711189
seed-1729__h-16__c-32__tol-na__first_difference,1729,16,32,,first_difference,validation,chirp,51,0.27795499130878537,0.3106482285440044
seed-1729__h-16__c-32__tol-na__first_difference,1729,16,32,,first_difference,validation,ramp,51,0.019860445774649627,0.0249566869594158
seed-1729__h-16__c-32__tol-na__first_difference,1729,16,32,,first_difference,validation,piecewise_linear,51,0.029136996807268865,0.039015029257366024
seed-1729__h-16__c-32__tol-na__first_difference,1729,16,32,,first_difference,validation,first_order_response,51,0.024894158969475742,0.03150925138524204
seed-1729__h-16__c-32__tol-na__first_difference,1729,16,32,,first_difference,validation,second_order_response,51,0.02381099470829894,0.028834575004165718
seed-1729__h-16__c-32__tol-na__first_difference,1729,16,32,,first_difference,validation,regime_change,51,0.48089802324377473,0.5331429433188708
seed-1729__h-16__c-32__tol-na__first_difference,1729,16,32,,first_difference,test,sine,52,0.08065790262313767,0.09301911039456608
seed-1729__h-16__c-32__tol-na__first_difference,1729,16,32,,first_difference,test,chirp,52,0.3899165013650822,0.437551407966384
seed-1729__h-16__c-32__tol-na__first_difference,1729,16,32,,first_difference,test,ramp,52,0.0207435870120265,0.025227674215371535
seed-1729__h-16__c-32__tol-na__first_difference,1729,16,32,,first_difference,test,piecewise_linear,52,0.023797072744577267,0.03105065036625235
seed-1729__h-16__c-32__tol-na__first_difference,1729,16,32,,first_difference,test,first_order_response,52,0.02462771466217028,0.03079696125116268
seed-1729__h-16__c-32__tol-na__first_difference,1729,16,32,,first_difference,test,second_order_response,52,0.02106572548893989,0.027332407995073603
seed-1729__h-16__c-32__tol-na__first_difference,1729,16,32,,first_difference,test,regime_change,52,0.48239461930127453,0.531570351274743
