representation,split,horizon,context_length,tolerance,n_seeds,n_successes,n_failures,mae_mean,mae_median,rmse_mean,rmse_median,rmse_q1,rmse_q3,rmse_min,rmse_max,rmse_ratio_vs_raw_mean,rmse_ratio_vs_raw_median,mean_input_steps,mean_input_scalar_elements,mean_input_bytes,step_reduction_factor_vs_raw_mean,scalar_reduction_factor_vs_raw_mean,predictive_parity_rate,structural_reduction_success_rate,payload_reduction_success_rate,joint_success_rate,robust_cell,representation_runtime_median_s
raw,test,16,128,,5,5,0,0.179680724069264,0.17968968696669194,0.30599455717299834,0.30595235397035986,0.30558854654472434,0.30644206974924815,0.3052819641550858,0.3067078514455736,1.0,1.0,128.0,128.0,1024.0,1.0,1.0,,,,,,0.0531956
raw,validation,1,32,,5,5,0,0.012776962929280706,0.012971888757073112,0.01605089535623467,0.016336567181238135,0.0161774083292254,0.016376463811399643,0.014625625438226791,0.016738412021083376,1.0,1.0,32.0,32.0,256.0,1.0,1.0,,,,,,0.0604542
raw,validation,1,64,,5,5,0,0.014561492997052939,0.014905524111381477,0.018839401301959924,0.01935007654134229,0.018368504850147505,0.019436235588762535,0.01723395039058299,0.019808239138964293,1.0,1.0,64.0,64.0,512.0,1.0,1.0,,,,,,0.0592718
raw,validation,1,128,,5,5,0,0.016940630420095113,0.017315109134517004,0.022588085470685727,0.02310810038000919,0.021375882734737763,0.02318972611089244,0.021101774912132262,0.024164943215657,1.0,1.0,128.0,128.0,1024.0,1.0,1.0,,,,,,0.056041
raw,validation,4,32,,5,5,0,0.024626832591615532,0.02429790156396089,0.03548078434154179,0.03524808021139431,0.035144642152991484,0.03579838820182322,0.03505614299094726,0.03615666815055268,1.0,1.0,32.0,32.0,256.0,1.0,1.0,,,,,,0.0607595
raw,validation,4,64,,5,5,0,0.034701502952800965,0.034660083866973036,0.05608188419425035,0.05598291103896755,0.05593098488542862,0.056305300124103966,0.055754804717566706,0.056435420205184945,1.0,1.0,64.0,64.0,512.0,1.0,1.0,,,,,,0.0595516
raw,validation,4,128,,5,5,0,0.044842649480162484,0.04468741178346794,0.07402612905454467,0.07402505713511623,0.07378359867919666,0.07423282133363648,0.07378284517394984,0.07430632295082411,1.0,1.0,128.0,128.0,1024.0,1.0,1.0,,,,,,0.0564268
raw,validation,16,32,,5,5,0,0.10218456880093645,0.10203193954070024,0.17880212569792353,0.1788801104592664,0.17868402237576425,0.17904818809291334,0.17766659061450465,0.17973171694716894,1.0,1.0,32.0,32.0,256.0,1.0,1.0,,,,,,0.0611323
raw,validation,16,64,,5,5,0,0.14062453174315195,0.14059705138490597,0.2606365282107107,0.26079423013071884,0.26047461675101574,0.2608225989096394,0.25961368181998107,0.26147751344219855,1.0,1.0,64.0,64.0,512.0,1.0,1.0,,,,,,0.0581749
raw,validation,16,128,,5,5,0,0.17077876908752182,0.17091175933170122,0.2989139635323414,0.29910350360002325,0.2989272173120496,0.2991364303136863,0.29804339821464515,0.29935926822130265,1.0,1.0,128.0,128.0,1024.0,1.0,1.0,,,,,,0.0531956
vectorchain,test,1,32,0.01,5,5,0,0.015353899384738162,0.015312352270549652,0.021287750666008652,0.021069350282197707,0.020294111865309227,0.02214239581337069,0.019691842355685336,0.0232410530134803,1.3142462306000335,1.2846840374087982,16.84593837535014,84.2296918767507,673.8375350140057,1.9004793363675094,0.3800958672735019,0.0,0.0,0.0,0.0,False,2.0635446
vectorchain,test,1,32,0.03,5,5,0,0.01585314659061645,0.015650302711045373,0.021023875971660104,0.02088426098752233,0.01987028873218989,0.021097194128177975,0.01973493784795339,0.02353269816245694,1.2967850101748366,1.2979247701287187,3.2750700280112044,16.37535014005602,131.00280112044817,9.80863246922795,1.9617264938455903,0.0,1.0,1.0,0.0,False,0.951096
vectorchain,test,1,32,0.1,5,5,0,0.01330168389184137,0.012777664423803087,0.017342204654421482,0.016166794802993097,0.01598259670281319,0.019907093578083564,0.014467927497411891,0.020186610690805684,1.0709965416689038,1.004288372576096,1.2229691876750701,6.11484593837535,48.9187675070028,26.165914559636764,5.233182911927353,0.6,1.0,1.0,0.6,False,0.7571018
vectorchain,test,1,64,0.01,5,5,0,0.0168434647927774,0.01682161663895086,0.023916330797979356,0.024248064657748383,0.023301266814907517,0.02439187214837105,0.022044989192962255,0.025595461175907566,1.1974475711347627,1.2141667404468166,33.84089635854342,169.2044817927171,1353.6358543417368,1.8918592714287772,0.3783718542857554,0.0,0.0,0.0,0.0,False,4.2133126
vectorchain,test,1,64,0.03,5,5,0,0.016253438261592104,0.015721919745959167,0.021709640724194096,0.020907595965666628,0.02021148038095997,0.022704446531815355,0.019967865354146425,0.0247568153883821,1.085965531591704,1.0894389496442156,6.014565826330532,30.07282913165266,240.5826330532213,10.675596681426317,2.135119336285263,0.6,1.0,1.0,0.6,False,1.680627
vectorchain,test,1,64,0.1,5,5,0,0.0124289183011473,0.012299784382090794,0.015717034766460254,0.0157266374119952,0.015535683342900007,0.016012880879719377,0.013793501816946633,0.017516470380740036,0.7859989493667542,0.7953685934241614,1.6789915966386555,8.394957983193278,67.15966386554622,38.119887555673785,7.623977511134757,1.0,1.0,1.0,1.0,True,1.3823994
vectorchain,test,1,128,0.01,5,5,0,0.016950836236440864,0.01696257843952776,0.02291808504158315,0.02183257262716199,0.02162141221982848,0.023790075467734394,0.021294226415744376,0.026052138477446526,0.9822505253760994,0.9528950245202675,67.94621848739496,339.7310924369748,2717.8487394957983,1.8841945578414894,0.37683891156829785,1.0,0.0,0.0,0.0,False,8.4904469
vectorchain,test,1,128,0.03,5,5,0,0.01668001245166458,0.016594409088847354,0.021852860855865464,0.022203144705419765,0.021013425998623745,0.022671330729509824,0.01806694369392539,0.02530945915184858,0.9377059858671783,0.9253032215879567,11.652100840336136,58.26050420168067,466.08403361344534,11.005415250039633,2.2010830500079264,0.8,1.0,1.0,0.8,True,2.956847
vectorchain,test,1,128,0.1,5,5,0,0.013414451262692695,0.013451048175608637,0.017022426354124716,0.01673631299793981,0.016299916673690778,0.017204414357445293,0.015548767153650086,0.0193227205878976,0.7298421327458834,0.7302950724708893,2.611764705882353,13.058823529411763,104.4705882352941,49.01015011707217,9.802030023414435,1.0,1.0,1.0,1.0,True,2.5594165
vectorchain,test,4,32,0.01,5,5,0,0.03288694201296192,0.0328016497125076,0.05242607538859012,0.05272713811827593,0.0517610657973006,0.05338567545749062,0.049787775997173246,0.0544687215727102,1.323588306373686,1.3453075050018253,16.846153846153847,84.23076923076924,673.8461538461539,1.9004245223076648,0.38008490446153287,0.0,0.0,0.0,0.0,False,2.0894105
