signal,signal_seed,tolerance,phase,repetition,duration_s
second_order_response,3453063256976350239,0.003,reconstruction,2,0.0038894
second_order_response,3453063256976350239,0.003,transform,3,0.174003
second_order_response,3453063256976350239,0.003,reconstruction,3,0.0037695
second_order_response,3453063256976350239,0.003,transform,4,0.1792863
second_order_response,3453063256976350239,0.003,reconstruction,4,0.0038628
second_order_response,3453063256976350239,0.01,transform,0,0.0838002
second_order_response,3453063256976350239,0.01,reconstruction,0,0.0026099
second_order_response,3453063256976350239,0.01,transform,1,0.0832909
second_order_response,3453063256976350239,0.01,reconstruction,1,0.00251
second_order_response,3453063256976350239,0.01,transform,2,0.0869486
second_order_response,3453063256976350239,0.01,reconstruction,2,0.0025317
second_order_response,3453063256976350239,0.01,transform,3,0.084773
second_order_response,3453063256976350239,0.01,reconstruction,3,0.002533
second_order_response,3453063256976350239,0.01,transform,4,0.0860949
second_order_response,3453063256976350239,0.01,reconstruction,4,0.0025911
second_order_response,3453063256976350239,0.03,transform,0,0.0148568
second_order_response,3453063256976350239,0.03,reconstruction,0,0.0004344
second_order_response,3453063256976350239,0.03,transform,1,0.0149079
second_order_response,3453063256976350239,0.03,reconstruction,1,0.0004509
second_order_response,3453063256976350239,0.03,transform,2,0.0142287
second_order_response,3453063256976350239,0.03,reconstruction,2,0.0004467
second_order_response,3453063256976350239,0.03,transform,3,0.014202
second_order_response,3453063256976350239,0.03,reconstruction,3,0.0004735
second_order_response,3453063256976350239,0.03,transform,4,0.0145022
second_order_response,3453063256976350239,0.03,reconstruction,4,0.0004592
second_order_response,3453063256976350239,0.1,transform,0,0.0129983
second_order_response,3453063256976350239,0.1,reconstruction,0,9.39e-05
second_order_response,3453063256976350239,0.1,transform,1,0.0130405
second_order_response,3453063256976350239,0.1,reconstruction,1,9.57e-05
second_order_response,3453063256976350239,0.1,transform,2,0.0129317
second_order_response,3453063256976350239,0.1,reconstruction,2,9.72e-05
second_order_response,3453063256976350239,0.1,transform,3,0.0130878
second_order_response,3453063256976350239,0.1,reconstruction,3,9.45e-05
second_order_response,3453063256976350239,0.1,transform,4,0.0130373
second_order_response,3453063256976350239,0.1,reconstruction,4,9.62e-05
regime_change,4695181564452026195,0.001,transform,0,0.2289638
regime_change,4695181564452026195,0.001,reconstruction,0,0.0051083
regime_change,4695181564452026195,0.001,transform,1,0.2260006
regime_change,4695181564452026195,0.001,reconstruction,1,0.0044986
regime_change,4695181564452026195,0.001,transform,2,0.2237333
regime_change,4695181564452026195,0.001,reconstruction,2,0.004315
regime_change,4695181564452026195,0.001,transform,3,0.2264969
